"","mantelr","pval1","pval2","pval3","lower","upper","domain","comparison","p.adjusted"
"lingVCult12",0.214966155034848,0.17011,0.8299,0.32377,0.0782180024542972,0.420813531172179,"Speech and language","lingVCult",1
"lingVHist12",0.142863535369189,0.21053,0.78948,0.42727,-0.0357443396469903,0.305475642130767,"Speech and language","lingVHist",1
"lingVGeo12",0.159224661501557,0.18011,0.8199,0.36474,-0.0733815982651884,0.317086477081707,"Speech and language","lingVGeo",1
"lingVCult13",0.154070437859999,0.22001,0.78,0.46947,-0.000992608505498856,0.313778993887527,"Motion","lingVCult",1
"lingVHist13",0.320706243628958,0.04254,0.95747,0.06362,0.0620695515237361,0.442864953828051,"Motion","lingVHist",1
"lingVGeo13",0.178598434887878,0.16389,0.83612,0.32126,-0.00787049899394207,0.367995047130856,"Motion","lingVGeo",1
"lingVCult14",0.381185512558716,0.05492,0.94509,0.08316,0.24404303774934,0.522792215843379,"Social and political relations","lingVCult",1
"lingVHist14",0.165532055966651,0.18562,0.81439,0.37366,-0.0394673441163211,0.343395595013014,"Social and political relations","lingVHist",1
"lingVGeo14",0.011910456154642,0.47254,0.52747,0.95087,-0.196903422369829,0.174119278272935,"Social and political relations","lingVGeo",1
"lingVCult15",0.433881288665724,0.03123,0.96878,0.04857,0.291603345623796,0.566471931088517,"Agriculture and vegetation","lingVCult",1
"lingVHist15",-0.0693325750230521,0.63439,0.36562,0.7064,-0.203898871088726,0.132734450452337,"Agriculture and vegetation","lingVHist",1
"lingVGeo15",-0.0167605195480659,0.52278,0.47723,0.92987,-0.170937785627681,0.135930128335342,"Agriculture and vegetation","lingVGeo",1
"lingVCult16",0.176404693782924,0.20712,0.79289,0.43585,-0.00508539887781191,0.340778426873456,"Spatial relations","lingVCult",1
"lingVHist16",0.395967695791401,0.02185,0.97816,0.02792,0.178737927972004,0.570904017733737,"Spatial relations","lingVHist",0.58632
"lingVGeo16",0.117141244509341,0.27291,0.7271,0.5353,-0.128943567810785,0.283068534717325,"Spatial relations","lingVGeo",1
"lingVCult17",0.12918624735845,0.26113,0.73888,0.58877,-0.0130482547669871,0.248487854823034,"Time","lingVCult",1
"lingVHist17",0.271251067216516,0.10632,0.89369,0.1674,0.0605563182622957,0.388370580978922,"Time","lingVHist",1
"lingVGeo17",0.0484317812183545,0.39752,0.60249,0.80552,-0.154860486388967,0.185123387442178,"Time","lingVGeo",1
"lingVCult18",0.274724561637274,0.12057,0.87944,0.23821,0.124390754775473,0.46005678203326,"Sense perception","lingVCult",1
"lingVHist18",0.279934841502307,0.06878,0.93123,0.12608,0.0164600229252076,0.463800165947591,"Sense perception","lingVHist",1
"lingVGeo18",-0.00144842314357241,0.493,0.50701,0.99382,-0.173212246912815,0.265135889733803,"Sense perception","lingVGeo",1
"lingVCult19",0.317891800002828,0.11113,0.88888,0.17326,0.161786854939447,0.505411654347174,"Kinship","lingVCult",1
"lingVHist19",0.215730478282097,0.14283,0.85718,0.2644,-0.0041694460658823,0.371816680025078,"Kinship","lingVHist",1
"lingVGeo19",0.0119688153283278,0.46897,0.53104,0.9513,-0.168341322440116,0.206205702630201,"Kinship","lingVGeo",1
"lingVCult20",0.44067429055138,0.03581,0.9642,0.04904,0.239786854711921,0.618897355073864,"Clothing and grooming","lingVCult",1
"lingVHist20",0.0272278768180374,0.42539,0.57462,0.88648,-0.16728898521796,0.175686385221586,"Clothing and grooming","lingVHist",1
"lingVGeo20",-0.13522946161604,0.75313,0.24688,0.48317,-0.355112817293745,0.0626793166526681,"Clothing and grooming","lingVGeo",1
