l1,l2,IDS_SEMANTICFIELD_l1,local_alignment,comparison_count
sq,ka,Miscellaneous function words,-0.06358332027189532,15
uk,ka,Cognition,-0.06311614009592637,13
lv,ka,Possession,-0.06168921243122572,1
uk,ka,Animals,-0.061545830102543386,1
hy,lt,The physical world,-0.06048031404208851,3
ka,he,Modern world,-0.0602596442122842,1
br,pt,Speech and language,-0.05991821175257689,10
ca,ja,Miscellaneous function words,-0.05968093619269029,9
da,ka,Miscellaneous function words,-0.05933585597708984,11
fa,ka,Speech and language,-0.05925994831424999,5
uk,ka,The house,-0.05837204588338063,2
nl,ka,The physical world,-0.058225195439466255,2
lv,ka,Cognition,-0.0581922211663416,11
de,ka,Kinship,-0.05816051155487218,7
hy,sq,The house,-0.05780575996205691,2
ca,ka,Time,-0.057642991088400916,20
lt,ka,Cognition,-0.05717388561215199,10
fa,hy,Animals,-0.057123557405374836,1
hy,sk,Motion,-0.05627891085475134,3
ca,ka,Social and political relations,-0.055793224308503885,6
el,ka,Miscellaneous function words,-0.05557699549911663,11
fa,ka,The house,-0.05548590864476055,1
no,ka,Cognition,-0.055251301091722,11
pt,ka,Motion,-0.05512755306509148,3
tr,ka,The physical world,-0.05469583272357686,2
uk,ka,Time,-0.05463723249704219,31
ko,ka,Miscellaneous function words,-0.054573257268602716,10
hy,ko,The house,-0.05455142430086282,2
de,ka,Cognition,-0.05450752844375617,11
el,ka,The house,-0.05371749377088625,1
no,ka,Miscellaneous function words,-0.05346950702457412,11
sv,br,Speech and language,-0.05258074687980745,11
sq,ka,Emotions and values,-0.05207932147845454,12
ka,eu,Quantity,-0.05192059274038232,15
hy,sq,Quantity,-0.05122406828309814,11
ca,ka,Sense perception,-0.050914677911646083,6
ro,ka,Animals,-0.05086925741071294,1
ca,ka,Basic actions and technology,-0.050624589735332286,6
lv,ka,The house,-0.05040247657729725,1
hu,ka,Miscellaneous function words,-0.05026904399893539,12
sk,br,Speech and language,-0.05003048921870042,9
hy,tr,Animals,-0.0496045890439224,3
ko,ja,Possession,-0.04847168576907546,1
uk,ka,Kinship,-0.048280694441273024,22
lt,ka,The house,-0.04823823691115375,1
fi,hy,Motion,-0.047824922394332704,4
ka,eu,Miscellaneous function words,-0.0478245805469743,12
br,he,Agriculture and vegetation,-0.047656918107500806,3
ka,he,Miscellaneous function words,-0.04754865380791226,13
en,ka,Cognition,-0.04743062903785394,11
en,ka,Possession,-0.04739299506563716,1
fi,ka,The physical world,-0.04705392545848873,2
hy,ro,Motion,-0.046952705364661264,3
hu,ka,Emotions and values,-0.046886240664644474,12
cs,br,Speech and language,-0.04662956066715066,9
sq,ka,The physical world,-0.04652149908669276,2
br,ka,Basic actions and technology,-0.04650242787057678,3
el,ka,Animals,-0.045629987730738175,1
nl,br,Speech and language,-0.045603770492933994,12
ca,ka,The physical world,-0.045245645150874085,1
hy,ru,The house,-0.04493887821423508,2
ko,ka,Cognition,-0.04460953931516727,8
tr,ka,Cognition,-0.04427774439289147,14
hy,lt,The body,-0.04356518330365739,6
ka,ar,Basic actions and technology,-0.043535824698375664,10
is,ka,Social and political relations,-0.04340604294796086,8
bg,ka,Motion,-0.04319056799265279,4
et,ka,Sense perception,-0.04312356776109817,8
fr,ka,The house,-0.043007685771677545,1
hy,ko,Modern world,-0.04285575863435533,2
de,ka,Basic actions and technology,-0.042628732817738664,5
ka,eu,Emotions and values,-0.04258349524420025,8
hy,eu,The body,-0.042303187975999156,6
fi,ka,Modern world,-0.04189305722451802,1
et,ka,Social and political relations,-0.0418185260245872,8
hy,sq,Emotions and values,-0.04178900985650789,6
ca,ka,Emotions and values,-0.04157733339008551,10
sq,ka,Quantity,-0.040774478496017355,13
es,ka,The house,-0.04036418358940322,1
fi,ka,Possession,-0.03960621181046553,2
et,ka,Miscellaneous function words,-0.03939506751871801,13
uk,ka,Quantity,-0.03924824059540448,15
is,ka,Speech and language,-0.03892415257022564,6
ka,he,Social and political relations,-0.038862148291214954,9
en,ka,Social and political relations,-0.038809708323398494,8
ko,ka,The house,-0.03874203788541032,1
ka,ar,Sense perception,-0.038714759432206765,8
bg,ka,The physical world,-0.03866964664639336,2
ka,he,Time,-0.0386279859420268,24
de,ka,Speech and language,-0.03859267218524756,2
ja,ka,Animals,-0.037981964629885054,1
hy,eu,Motion,-0.03789053313563626,3
hu,ka,Sense perception,-0.037011752908105794,9
uk,ka,Motion,-0.03699111586324945,4
ko,ka,Possession,-0.036761882094534536,1
hy,is,Cognition,-0.03672145411365439,8
sk,ka,The house,-0.036632522579278716,1
et,hy,The physical world,-0.03660201965076212,3
lv,hy,Speech and language,-0.03656487157154624,2
hy,no,Motion,-0.03639733765925216,3
fi,ka,Social and political relations,-0.03614938501602754,9
no,ka,Kinship,-0.036007276196680975,23
hy,en,Motion,-0.03592356450886046,4
br,ja,Modern world,-0.035838472081045895,6
br,fr,Speech and language,-0.03577648987253152,10
sq,ka,The body,-0.0355448173441635,12
is,ka,Miscellaneous function words,-0.03550462963568289,13
tr,ka,Basic actions and technology,-0.03488589620521545,9
ca,ka,Modern world,-0.034842417982065166,1
sv,ka,Miscellaneous function words,-0.03405163504878777,12
lt,ka,Quantity,-0.03378608282780012,15
hy,sq,Motion,-0.03324643208352184,5
cs,ka,Motion,-0.03322644682086933,3
ka,eu,Cognition,-0.03298281103923517,15
ka,he,Emotions and values,-0.032686540590563876,11
br,ar,Agriculture and vegetation,-0.03262431475754254,2
no,ka,Social and political relations,-0.032587423414858666,8
et,hy,Animals,-0.03253671283893385,2
da,ka,Motion,-0.032103957688498136,3
de,ka,Emotions and values,-0.03186004572115712,5
hr,ka,Social and political relations,-0.03147160644021183,10
da,ka,Cognition,-0.031382176854576345,11
hy,ko,Basic actions and technology,-0.031210752283984653,7
tr,ka,Kinship,-0.030576079765043285,26
ko,ka,The body,-0.03056845494898445,11
uk,ka,The body,-0.030533354316855436,13
ka,eu,The house,-0.030292144507132943,1
br,es,Speech and language,-0.030138767021298314,10
hy,pt,The body,-0.03009940061637159,6
it,ka,The physical world,-0.030023635986453755,2
en,ka,Animals,-0.0298784231462437,1
et,ka,The house,-0.02987366039349826,1
nl,ka,The house,-0.029793345479716606,1
is,ka,Cognition,-0.029401998452711,10
ka,ar,Animals,-0.029302566836547733,1
hu,ka,Social and political relations,-0.029084078374708302,8
is,br,Agriculture and vegetation,-0.028774132414449264,1
bg,ka,Animals,-0.028613789430463443,1
hy,el,The physical world,-0.02853011751430258,3
is,ka,Basic actions and technology,-0.02823419140828522,8
fa,ka,The body,-0.028172966558928418,19
ka,ar,Possession,-0.028102785548925355,1
hy,sq,Possession,-0.02806825249901955,4
ca,ka,Spatial relations,-0.027754819859023058,8
hr,ka,Cognition,-0.027668199787735277,14
cs,ka,Cognition,-0.027615604714527186,12
sq,ka,Animals,-0.027575345085870902,1
hy,tr,The physical world,-0.027233561069174805,3
hy,ko,Quantity,-0.027118832368667523,8
lt,ka,Kinship,-0.02669646946355914,26
de,br,Miscellaneous function words,-0.026678993974936532,8
hr,ka,The body,-0.02653768499099347,14
hr,ka,Motion,-0.02653339949480607,3
is,ka,Sense perception,-0.0261972981280985,7
uk,ka,Emotions and values,-0.026037302241073635,10
hu,ka,The physical world,-0.025987441521333348,2
nl,ka,Social and political relations,-0.025842490060071957,9
hy,sq,Social and political relations,-0.025834935880429847,7
ca,ka,Kinship,-0.02565032144817153,24
hy,nl,Motion,-0.025463418333792204,3
fi,ka,Speech and language,-0.025398627920743728,6
sv,ka,The body,-0.02527936836528837,15
lt,ko,Agriculture and vegetation,-0.025151480746454003,11
nl,br,Agriculture and vegetation,-0.024967331253381412,3
is,ka,The physical world,-0.02487124383408265,2
ko,ka,Emotions and values,-0.024803007856839643,8
tr,ja,Modern world,-0.024743432300691984,15
hy,nl,Food and drink,-0.024526361540114103,1
ca,ja,Modern world,-0.02441628083782677,12
sq,ka,Social and political relations,-0.024135786222878153,10
it,ka,Kinship,-0.02404109257697112,24
ko,ka,Basic actions and technology,-0.023732623653798558,5
el,ka,Motion,-0.023706131764012407,2
ru,br,Speech and language,-0.02366766435592086,10
en,ka,The house,-0.02321324760889736,1
sq,ka,Time,-0.023092283680200065,28
ca,ka,Quantity,-0.02287787299124144,14
is,ka,Possession,-0.02281078190971883,2
hy,eu,Animals,-0.022796129013610517,3
hy,he,The house,-0.022265667266454785,2
cs,ka,Possession,-0.02225631867960158,1
lt,ka,Social and political relations,-0.022176657140611192,9
lv,ka,Basic actions and technology,-0.02204610102274939,5
ca,ka,The body,-0.021745231652858115,12
no,ka,Speech and language,-0.021620733733484578,6
sv,ka,Motion,-0.021565836268852025,3
fi,ka,Spatial relations,-0.02140270150601859,17
et,ka,Quantity,-0.02137458401144266,13
hy,pt,The house,-0.02132057184734736,3
et,ka,The physical world,-0.02130436128523077,2
hy,sq,The body,-0.021210846238149162,6
sv,ka,The physical world,-0.02118908380095242,2
uk,br,Modern world,-0.02103227789086029,10
it,ka,Social and political relations,-0.020944289315261003,8
fi,hy,Speech and language,-0.020795192705255972,4
is,ka,The house,-0.02045536144199398,1
br,ka,Emotions and values,-0.0201021651301543,6
br,ko,Basic actions and technology,-0.0200779788647039,12
ka,he,Sense perception,-0.020040794723986004,7
en,ka,Basic actions and technology,-0.020008914577064486,6
sq,br,Agriculture and vegetation,-0.019943388063225004,2
cs,ka,The house,-0.019809464834906653,1
hu,ka,Cognition,-0.0197417026631673,16
sv,ka,Sense perception,-0.019560987787231227,9
hy,el,Spatial relations,-0.018794053774338983,13
uk,ka,Possession,-0.018701698864895443,2
hy,eu,Possession,-0.01804579668061643,3
sk,ka,Speech and language,-0.017995651702985286,6
fa,br,Agriculture and vegetation,-0.017890365802630336,4
hr,br,Speech and language,-0.017754584096175474,11
sq,br,Clothing and grooming,-0.017668455908064495,3
is,ka,Motion,-0.01739015023861203,3
cs,ka,Basic actions and technology,-0.01718830127811401,7
ko,ka,Kinship,-0.017005041110677056,20
ka,he,Kinship,-0.0169416600457194,26
pl,br,Speech and language,-0.01692329116387618,10
br,ro,Speech and language,-0.016783657491356418,12
is,ja,Miscellaneous function words,-0.01639295942767817,11
hr,ka,Quantity,-0.01636629687206097,13
no,ka,Possession,-0.016129721808725773,1
br,ko,Speech and language,-0.01606860242120146,5
hu,ka,The house,-0.01590847892933579,1
de,ka,Spatial relations,-0.015864767757484313,11
et,ka,Emotions and values,-0.015667198599577,10
hy,no,Possession,-0.015590170669247219,3
da,ka,Kinship,-0.015283905497202582,20
bg,br,Animals,-0.015093196481224501,4
no,ka,The body,-0.01476202711844153,14
br,ca,Miscellaneous function words,-0.014697152250407696,8
no,ka,Basic actions and technology,-0.014663437141719898,8
da,br,The body,-0.014661471999863007,30
en,ka,Kinship,-0.014510618426194999,22
hy,ko,The body,-0.014314565654175904,6
en,ka,Emotions and values,-0.014052431997196167,10
hy,sq,Speech and language,-0.014033043167762358,4
hy,eu,Quantity,-0.013934438377808963,12
ko,ka,Spatial relations,-0.013707254038539868,8
et,ka,Kinship,-0.013642934479126716,23
hy,he,Speech and language,-0.013575790422449358,4
lv,br,Animals,-0.013356736531654102,3
hy,sv,The house,-0.01324752006813798,2
no,ka,Time,-0.01293868065374572,26
hy,is,Animals,-0.012737500619698805,2
nl,ka,Cognition,-0.012594272385181363,12
lt,br,Speech and language,-0.012514529865860363,10
sk,ka,Social and political relations,-0.012260164804516274,9
ko,ka,Social and political relations,-0.0120882352393831,6
fi,ka,Kinship,-0.011969078218702545,23
lt,ka,Basic actions and technology,-0.01189164356668516,9
fa,hy,Modern world,-0.011824349266853681,3
en,ka,Quantity,-0.011732671962588802,12
hy,nl,Animals,-0.011716526396342545,2
sk,ka,Basic actions and technology,-0.011336116164710084,9
hy,is,Time,-0.011183624057385069,25
lt,ka,Spatial relations,-0.011007312566561319,18
no,ka,The house,-0.010905616733929755,1
ka,eu,Kinship,-0.010902752888075358,25
pl,ka,Motion,-0.010502309563407662,4
et,ka,Cognition,-0.010438403484928211,13
el,ka,Cognition,-0.010434323683838379,12
tr,ka,Emotions and values,-0.010384147972641956,13
sv,ka,Cognition,-0.009976570040985887,11
da,ka,The body,-0.009611010301336664,13
et,ka,Speech and language,-0.009475981928848378,6
is,ka,Quantity,-0.009453731157484348,16
no,ka,Spatial relations,-0.009419068899628458,15
hu,br,Speech and language,-0.009227860074198357,12
hu,ka,Basic actions and technology,-0.008957208355765363,9
sk,ka,Miscellaneous function words,-0.008918991847450961,16
sq,ka,Cognition,-0.008833581720624801,14
el,ka,Basic actions and technology,-0.008757929642985456,11
fi,ka,Quantity,-0.008746612214202292,14
cs,ka,Spatial relations,-0.008702438155309297,15
hy,el,The house,-0.008499336950872492,2
pt,ka,The body,-0.00846711611353289,15
hy,sq,The physical world,-0.008206787109286863,3
no,ka,Motion,-0.008198632075980115,3
sk,ka,Motion,-0.007895625613229951,3
pt,ka,Time,-0.007609733024320031,27
br,ko,Time,-0.007592103678542309,19
br,ja,Miscellaneous function words,-0.007544737779424593,7
ko,ka,Time,-0.007488098951382449,22
it,ka,Cognition,-0.007431389486992968,11
hu,ka,The body,-0.0069411940243290175,16
ro,ka,Speech and language,-0.006872193809962774,7
sq,br,Quantity,-0.006858505975076398,20
de,ka,Sense perception,-0.006804407888556643,6
ro,ka,Sense perception,-0.006772121844604188,8
br,ka,Modern world,-0.006722942879952478,1
sk,ka,The physical world,-0.006693697366781423,2
pt,ka,The physical world,-0.006673248503824558,2
hy,tr,Emotions and values,-0.006591323132793125,8
ru,ka,Possession,-0.006459280601579064,1
hy,ja,Possession,-0.006433837086958735,2
is,ka,Kinship,-0.006370487800405449,26
ka,eu,Social and political relations,-0.006160609668182954,8
et,hy,Motion,-0.006103598592780146,5
hy,es,Food and drink,-0.006019819178455937,1
it,ka,Animals,-0.005958245938183861,1
is,ka,The body,-0.005882697515920727,14
hy,ko,Spatial relations,-0.005871170042345242,10
en,ka,Time,-0.005708770994711674,28
ka,he,Motion,-0.005644356880522547,3
hu,hy,The house,-0.005365672671321625,2
de,br,Kinship,-0.005316988645096843,5
et,hy,Quantity,-0.005195504798830484,11
hy,sv,Modern world,-0.005179898035033215,2
hy,eu,Speech and language,-0.004950152297060459,4
fi,ka,Emotions and values,-0.0049355484908349834,14
no,br,Sense perception,-0.004880954730752566,17
fa,ka,Social and political relations,-0.004706668085367457,9
hy,ca,The house,-0.00446149601470032,2
sv,ka,Social and political relations,-0.0044403553468793195,9
hy,eu,Kinship,-0.004391314060846021,16
uk,br,Animals,-0.004385598709941645,3
da,ka,Spatial relations,-0.004034178950101872,13
hy,br,Food and drink,-0.003980637398073806,1
no,ka,The physical world,-0.003890452449941667,2
de,br,Basic actions and technology,-0.0038387638181014176,20
sv,ka,Kinship,-0.00378606696706615,21
br,ko,Modern world,-0.003700370496013268,6
it,ka,Basic actions and technology,-0.003572097105743568,6
hy,sk,Food and drink,-0.0034439185164960692,1
es,ka,Sense perception,-0.0034170236943017896,9
et,ka,Animals,-0.0032441606485949445,1
fa,br,Miscellaneous function words,-0.0030651291292209354,7
br,ka,Motion,-0.002995304263240503,3
de,br,Social and political relations,-0.002900598335955554,2
br,ko,The body,-0.002824628052223232,24
no,br,The body,-0.0026558196368670173,30
no,ka,Quantity,-0.0026072049335616214,15
sq,ka,Motion,-0.0025255213165232375,4
hy,tr,Food and drink,-0.002465528779681935,1
is,br,Animals,-0.002412326748170837,3
et,hy,The house,-0.002281117056875011,2
ru,ka,Basic actions and technology,-0.0022267533812697525,8
en,br,Speech and language,-0.0021975125447873693,10
pt,ka,Social and political relations,-0.0018259796501785678,11
sv,ka,Basic actions and technology,-0.0017544665136070142,9
is,ka,Time,-0.0017409510218604216,32
nl,br,Animals,-0.001642342769118437,4
en,ka,Spatial relations,-0.001468816054433571,12
et,ja,Social and political relations,-0.001383216611101766,16
hy,eu,Emotions and values,-0.0013830165499311626,5
da,br,The house,-0.0013728275381986986,6
tr,ka,Miscellaneous function words,-0.000992324916298807,16
pt,ka,Cognition,-0.000962936813984437,14
tr,ka,Social and political relations,-0.0009365290780447497,12
de,ka,Quantity,-0.000812259160418644,12
bg,br,Speech and language,-0.0005433540576139484,10
et,ka,Time,-0.00042726759332664595,34
bg,br,Agriculture and vegetation,-0.0004249927712348343,3
da,br,Kinship,-0.0003435665769408754,15
sq,ka,Kinship,-0.00023691585415500915,27
fr,ka,Miscellaneous function words,-0.0001897153308742875,12
it,ka,Speech and language,-0.00018175083752229593,6
de,ka,The body,-0.00018144234321918135,2
br,ka,Time,-0.00011751081454550034,20
de,ja,Miscellaneous function words,0.00010454863999843355,10
hy,ca,The body,0.00013039076576181496,6
fi,hy,Possession,0.00023218065339012176,4
sv,ka,Animals,0.00035819259469514064,1
cs,ka,Quantity,0.0005207011226648291,14
hy,is,Spatial relations,0.0005445049459684793,14
ru,ka,Miscellaneous function words,0.0005719895615862031,12
hy,no,Emotions and values,0.0005762928784499537,7
uk,ka,Social and political relations,0.0007296623614240556,9
ka,eu,The body,0.0007338867794566151,16
hu,ka,Speech and language,0.000839795219883404,8
ca,ka,The house,0.0009368639038933453,1
br,ro,Miscellaneous function words,0.001072327054383508,9
lt,ka,Motion,0.0014226107982816816,3
cs,ka,Kinship,0.0015582339908094152,24
sk,ka,Cognition,0.0016305138463155778,12
bg,ka,Social and political relations,0.0016967590656926882,8
fr,ka,Spatial relations,0.0017117499910128927,11
en,ka,Speech and language,0.001721078425104286,6
ka,he,Quantity,0.0019863071064740454,13
hy,sk,The house,0.002121556351716909,2
fa,ka,Modern world,0.0021225424795733696,2
da,ka,The physical world,0.002243484616697391,2
hy,it,Food and drink,0.002397878415895577,1
lv,br,The house,0.0024392887617283193,6
br,ca,Animals,0.002451134286259496,4
hy,is,Social and political relations,0.0025389821757641575,6
sq,br,Time,0.002602338191068243,25
hy,ru,The physical world,0.002760626987348948,3
hy,cs,Motion,0.002777400387507211,3
hy,nl,The physical world,0.0029064869047355224,3
es,ka,Social and political relations,0.003121672335008154,9
hy,he,Motion,0.0033184841070961583,4
hu,ka,Quantity,0.0033931482503472936,14
cs,ka,Speech and language,0.0035621510319909988,7
tr,ka,Animals,0.0037528112911739894,2
fi,ka,Sense perception,0.004135081382893433,10
hr,ka,Sense perception,0.004138252118068693,10
et,hy,Time,0.00426644738798544,26
bg,ja,Agriculture and vegetation,0.004396795195076901,4
ko,ka,Motion,0.00455066356501525,2
br,eu,Time,0.0045653209023114255,29
de,ka,Time,0.0045868708563053095,25
fa,ka,Spatial relations,0.004639012662981629,18
hy,uk,The physical world,0.004697798399923266,2
br,it,Kinship,0.0047848384021480445,17
cs,ka,Animals,0.0048202660722691144,1
br,ko,Kinship,0.0049281564639603445,15
ja,ka,The house,0.005128128019790963,1
cs,ka,Social and political relations,0.005146524192213734,8
sq,br,The house,0.005255103506601061,6
hy,sq,Food and drink,0.005290001939065446,1
it,ka,Time,0.005354414038635017,27
ro,ka,Cognition,0.005383720342567672,11
lt,ka,Speech and language,0.005469436845363634,6
de,br,Time,0.005487171873782177,18
et,br,Time,0.005531325481894463,30
no,ja,Modern world,0.005621169053114947,13
br,ka,Miscellaneous function words,0.005823015205451857,7
en,ka,The body,0.005872157091636567,13
hy,pt,Spatial relations,0.006080220040726643,13
pt,ja,Modern world,0.006141781865512595,13
tr,ka,Spatial relations,0.006341414574645744,16
sv,br,The body,0.006387730668371427,30
ru,ka,The house,0.0064733291028665,1
br,ko,Agriculture and vegetation,0.006737881331957255,3
tr,ka,The house,0.006832278658395296,1
hy,pl,The body,0.006854527805421146,6
el,ka,Speech and language,0.00687312443824485,7
hy,ru,Possession,0.006888976645976055,3
sv,br,The house,0.006955608692420415,6
br,ja,Food and drink,0.007130206569836917,9
hu,hy,Sense perception,0.007389245304228552,5
lv,br,Food and drink,0.007411278297203721,9
br,ar,Speech and language,0.007416183847527291,10
lt,ka,Miscellaneous function words,0.007489554093761376,16
hu,ka,Motion,0.007491296954081776,3
bg,ka,Modern world,0.007500855757552166,1
fi,hy,Animals,0.007629847095937411,2
sv,ka,Speech and language,0.007804001767656964,6
ro,ka,The physical world,0.007829256436111195,2
hy,ja,Social and political relations,0.007957905035430476,5
nl,ka,Motion,0.008133630384334664,3
fi,hy,Basic actions and technology,0.008154115192221978,11
hy,en,Food and drink,0.00835474852388633,1
ro,ka,Motion,0.008408558645606481,3
br,ja,Kinship,0.008497876426330715,22
bg,ka,Kinship,0.00850573372293772,23
bg,ka,Basic actions and technology,0.008536048681635058,8
da,br,Basic actions and technology,0.008562323803171668,34
da,ka,Basic actions and technology,0.008683052745739073,8
hr,ka,Speech and language,0.008708724292771189,7
fr,ka,The body,0.008978498287214995,15
hy,eu,Basic actions and technology,0.00898030942706928,9
hy,en,Emotions and values,0.00904979721753711,6
lt,ca,The house,0.009285221961190063,19
ru,br,Animals,0.009373738026766734,4
lv,br,Speech and language,0.00943207481914428,4
sv,ka,Time,0.009432093404680946,30
da,ka,Sense perception,0.009595868337896097,8
lv,no,Agriculture and vegetation,0.010041641423793855,8
ka,ar,The house,0.010295120896743275,2
br,ka,Speech and language,0.010748948201085554,4
hy,ko,Time,0.0107830590356121,17
ka,eu,Basic actions and technology,0.010838815199373271,6
da,br,Time,0.010940262736440722,26
es,ka,Cognition,0.010963934550796077,11
ka,eu,Time,0.010983036829260658,36
en,br,The body,0.011224634881089976,29
nl,br,Miscellaneous function words,0.01126212930740732,10
tr,ka,Possession,0.011328992861191694,1
hu,hy,Motion,0.0114104989599102,4
fi,br,Agriculture and vegetation,0.011416677362562452,3
es,ka,Motion,0.011482538717182546,4
ru,ka,Speech and language,0.011600083046635462,6
br,fr,Animals,0.011633592178655689,4
br,eu,Miscellaneous function words,0.011646941607690812,8
cs,br,The house,0.011699264595874533,6
hu,hy,Speech and language,0.011846667687032394,4
br,he,The house,0.011864001125580457,6
uk,br,Time,0.011877786191934088,27
hy,en,The body,0.011912744040124601,6
es,ka,Kinship,0.01193468022027816,24
sq,ka,Speech and language,0.012050997696209523,6
br,ja,Spatial relations,0.012132267535737259,18
sq,br,Speech and language,0.012282699163817584,12
hy,cs,The physical world,0.012334302186710945,3
hy,is,Motion,0.01235853356690097,5
br,ka,Spatial relations,0.01241175789215026,8
br,ko,Social and political relations,0.01241681878936647,10
ka,ar,Miscellaneous function words,0.012684640916007489,15
hy,uk,Animals,0.012705880080036714,2
ka,he,Spatial relations,0.01289474935422335,15
lv,ka,Speech and language,0.013079980194857644,5
hy,sq,Spatial relations,0.01316229079938008,13
tr,ka,Speech and language,0.013242181859483301,10
br,ka,Kinship,0.013273442248624215,16
ka,he,The body,0.013352841632917483,13
tr,ka,Quantity,0.013357768284363938,18
tr,ka,The body,0.013411164803882455,17
br,eu,Modern world,0.013433806355324804,10
fi,ka,Time,0.01345571482813726,32
br,fr,Miscellaneous function words,0.01356524906727231,11
hy,sq,Cognition,0.013628630335817894,10
br,he,Clothing and grooming,0.013725460092748887,4
hy,el,Food and drink,0.013738786807854585,1
hy,pt,The physical world,0.013891034154343692,3
ro,ka,The body,0.014142944101232312,17
hy,nl,Modern world,0.014256498952028247,2
tr,ka,Sense perception,0.01439941065252355,12
sq,br,Food and drink,0.014532301739307594,10
el,ka,The physical world,0.014741257809195687,2
da,ka,The house,0.014987124053455375,1
de,ja,Time,0.015053450915117228,30
nl,ka,Quantity,0.01512953158037467,15
br,ko,Animals,0.01518258721025309,3
no,br,Food and drink,0.015280734714261723,11
fi,hy,Modern world,0.015367152379778511,2
hy,tr,The house,0.015454597906011969,3
hu,ka,Kinship,0.015554352172735705,28
en,br,Miscellaneous function words,0.01555492069825538,8
br,ko,Clothing and grooming,0.01579113769619201,1
hy,sq,Time,0.015819064255515464,24
es,ka,Quantity,0.015924803497322712,12
hy,uk,Kinship,0.01600748235718944,15
bg,ka,The house,0.016151941989568153,1
fi,hy,The body,0.0161561295009834,6
hy,no,The body,0.01615686732251961,6
sq,br,Basic actions and technology,0.016215346218931052,30
hy,no,Quantity,0.01621706284475894,14
hy,br,Motion,0.01621995701137148,4
hy,it,Basic actions and technology,0.016246713285782317,8
fr,ja,Miscellaneous function words,0.0163031118189355,12
br,es,Animals,0.016324897234135827,4
ca,ka,Motion,0.016334312089689672,2
hy,no,The physical world,0.016417314030666905,3
hu,hy,Emotions and values,0.016423207706262138,7
it,ka,Spatial relations,0.01669248359845626,14
hy,ja,Time,0.017038359723477604,22
hy,sk,Time,0.017055126938856864,28
lv,ka,Social and political relations,0.01713633236362205,10
hy,sq,Animals,0.017200679678471536,2
it,ka,Miscellaneous function words,0.017214624133366514,14
hy,is,The body,0.017314140379637778,5
lv,ka,Quantity,0.017412919011505164,13
fi,br,The body,0.017428713051163613,37
br,ka,Quantity,0.017479891183715495,10
lv,sq,Agriculture and vegetation,0.01748076021064693,9
no,ka,Emotions and values,0.017559991859166155,12
no,br,Miscellaneous function words,0.017626614842444623,9
fa,ka,Kinship,0.017649484620260735,25
br,ja,Quantity,0.017683633409031972,8
nl,br,Cognition,0.017780500629337927,16
