,l1,l2,imputed_semantic_domain,rho,nconcepts_compared
373,ab,he,basic_actions_and_technology,-0.024013308177,2
374,ab,he,body_parts,0.0800945427743,8
375,ab,he,clothing_and_grooming,1.0,1
376,ab,he,cognition,-0.179058571556,8
377,ab,he,emotion_and_values,-0.47448342067,4
378,ab,he,food_and_drink,1.0,1
379,ab,he,kinship,-0.0863123090994,5
380,ab,he,motion,0.467987174378,5
381,ab,he,physical_world,0.0471703778939,6
382,ab,he,posession,-0.473432049549,3
383,ab,he,quantity,0.206951152193,14
384,ab,he,sense_perception,0.927319968884,1
385,ab,he,social_and_political_relations,0.218713458901,6
386,ab,he,spatial_relations,-0.1284964929,8
387,ab,he,speech_and_language,0.179618240177,3
388,ab,he,the_house,-0.904637734329,1
389,ab,he,time,-0.303248413208,11
390,ab,he,warfare_and_hunting,0.040305197805,3
391,ab,hi,agriculture_and_vegetation,,0
392,ab,hi,animals,,0
393,ab,hi,basic_actions_and_technology,0.564326858209,5
394,ab,hi,body_parts,0.255366313368,5
395,ab,hi,clothing_and_grooming,0.10627291232,2
396,ab,hi,cognition,0.0705648961063,9
397,ab,hi,emotion_and_values,-0.48077339747,3
398,ab,hi,food_and_drink,-0.665571328722,1
399,ab,hi,kinship,-0.957397991235,3
400,ab,hi,motion,0.911385077177,3
401,ab,hi,physical_world,0.723013625274,4
402,ab,hi,posession,0.564296810776,4
403,ab,hi,quantity,0.407410100308,13
404,ab,hi,sense_perception,-0.248260351149,2
405,ab,hi,social_and_political_relations,-0.00704089586566,5
406,ab,hi,spatial_relations,0.192413092589,9
407,ab,hi,speech_and_language,-0.156737313549,5
408,ab,hi,the_house,1.0,1
409,ab,hi,time,0.0181431145513,12
410,ab,hi,warfare_and_hunting,-0.484411196127,4
411,ab,hr,animals,-0.94627253757,1
412,ab,hr,basic_actions_and_technology,-0.289672265066,3
413,ab,hr,body_parts,0.797127331763,5
414,ab,hr,clothing_and_grooming,-0.789612766112,1
415,ab,hr,cognition,0.442501190353,6
416,ab,hr,emotion_and_values,-0.422323819248,4
417,ab,hr,food_and_drink,0.039197063757,1
418,ab,hr,kinship,0.0473596484893,3
419,ab,hr,motion,0.19950835907,4
420,ab,hr,physical_world,0.176167210036,3
421,ab,hr,posession,0.175248562363,5
422,ab,hr,quantity,0.404673811866,14
423,ab,hr,sense_perception,1.0,1
424,ab,hr,social_and_political_relations,0.387362093714,5
425,ab,hr,spatial_relations,0.19028211993,9
426,ab,hr,speech_and_language,0.177010442496,2
427,ab,hr,time,-0.081579152893,11
428,ab,hr,warfare_and_hunting,-0.323663036242,4
429,ab,hu,agriculture_and_vegetation,,0
430,ab,hu,animals,0.937707980398,1
431,ab,hu,basic_actions_and_technology,0.705160695215,2
432,ab,hu,body_parts,0.577263812638,4
433,ab,hu,clothing_and_grooming,-0.166109660881,2
434,ab,hu,cognition,0.299302589524,8
435,ab,hu,emotion_and_values,-0.137147216234,3
436,ab,hu,food_and_drink,,0
437,ab,hu,kinship,-0.30843583182,4
438,ab,hu,motion,0.258758622156,5
439,ab,hu,physical_world,-0.686451795102,4
440,ab,hu,posession,0.014490518359,5
441,ab,hu,quantity,0.425825838362,14
442,ab,hu,sense_perception,1.0,1
443,ab,hu,social_and_political_relations,0.491743029948,6
444,ab,hu,spatial_relations,-0.0858123621727,8
445,ab,hu,speech_and_language,-0.156861795257,3
446,ab,hu,time,0.273465518412,14
447,ab,hu,warfare_and_hunting,0.574914898233,3
448,ab,hy,animals,-0.642631602215,1
449,ab,hy,basic_actions_and_technology,0.027240530638,4
450,ab,hy,body_parts,0.658327972585,7
451,ab,hy,clothing_and_grooming,0.712790193303,1
452,ab,hy,cognition,0.166499497507,8
453,ab,hy,emotion_and_values,0.2829230874,3
454,ab,hy,kinship,0.536907431857,3
455,ab,hy,motion,-0.109506593403,4
456,ab,hy,physical_world,0.604063942478,7
457,ab,hy,posession,-0.342778260795,3
458,ab,hy,quantity,0.623760963228,13
459,ab,hy,sense_perception,1.0,1
460,ab,hy,social_and_political_relations,-0.067277584741,3
461,ab,hy,spatial_relations,0.0381801225387,9
462,ab,hy,speech_and_language,-0.0693425788363,4
463,ab,hy,time,0.154783557349,10
464,ab,hy,warfare_and_hunting,0.725886518377,4
465,ab,is,animals,0.513438560702,1
466,ab,is,basic_actions_and_technology,0.488666438497,4
467,ab,is,body_parts,0.205631662488,5
468,ab,is,clothing_and_grooming,-1.0,1
469,ab,is,cognition,0.00108951330514,5
470,ab,is,emotion_and_values,-0.087731093572,2
471,ab,is,kinship,-0.881973463985,2
472,ab,is,motion,0.473737790507,4
473,ab,is,physical_world,-0.48752864823,3
474,ab,is,posession,0.659502255064,5
475,ab,is,quantity,0.520366256615,12
476,ab,is,sense_perception,,0
477,ab,is,social_and_political_relations,-0.518184587388,3
478,ab,is,spatial_relations,0.326156643824,5
479,ab,is,speech_and_language,0.616746725421,6
480,ab,is,the_house,,0
481,ab,is,time,-0.200538767036,12
482,ab,is,warfare_and_hunting,0.333333333333,3
483,ab,it,animals,,0
484,ab,it,basic_actions_and_technology,0.29780977933,3
485,ab,it,body_parts,1.0,2
486,ab,it,clothing_and_grooming,,0
487,ab,it,cognition,0.306295546113,5
488,ab,it,emotion_and_values,0.146071029275,1
489,ab,it,food_and_drink,1.0,1
490,ab,it,kinship,0.816622352855,3
491,ab,it,motion,0.447375549627,4
492,ab,it,physical_world,0.343595982883,6
493,ab,it,posession,0.65426771887,4
494,ab,it,quantity,0.532344305406,13
495,ab,it,social_and_political_relations,0.0724555825163,5
496,ab,it,spatial_relations,0.283458890354,7
497,ab,it,speech_and_language,0.035952272076,3
498,ab,it,the_house,-1.0,1
499,ab,it,time,-0.167131250446,11
500,ab,it,warfare_and_hunting,-0.095766903812,3
501,ab,ja,agriculture_and_vegetation,0.354332647809,1
502,ab,ja,animals,1.0,1
503,ab,ja,basic_actions_and_technology,-0.241177818053,5
504,ab,ja,body_parts,-0.0300267895035,8
505,ab,ja,clothing_and_grooming,-0.22146510089,1
506,ab,ja,cognition,0.00277283709154,7
507,ab,ja,emotion_and_values,-0.0303513582833,3
508,ab,ja,kinship,-0.204572525569,3
509,ab,ja,motion,0.179274121979,3
510,ab,ja,physical_world,-0.386851750743,8
511,ab,ja,posession,0.722236619551,4
512,ab,ja,quantity,0.472274394952,11
513,ab,ja,sense_perception,0.999746783678,1
514,ab,ja,social_and_political_relations,0.29451038032,6
515,ab,ja,spatial_relations,-0.0633644018244,8
516,ab,ja,speech_and_language,-0.0745027158197,6
517,ab,ja,the_house,0.162147968795,1
518,ab,ja,time,0.174445241747,10
519,ab,ja,warfare_and_hunting,-0.191291853608,3
520,ab,ka,animals,0.46410692807,1
521,ab,ka,basic_actions_and_technology,0.953039494849,3
522,ab,ka,body_parts,0.960347999447,4
523,ab,ka,clothing_and_grooming,1.0,1
524,ab,ka,cognition,0.153131554808,7
525,ab,ka,emotion_and_values,-0.761179573304,4
526,ab,ka,kinship,-0.488761447085,2
527,ab,ka,motion,-0.647467735065,2
528,ab,ka,physical_world,0.141224010836,6
529,ab,ka,posession,0.230930167859,3
530,ab,ka,quantity,0.584776463313,9
531,ab,ka,sense_perception,-0.996848900821,1
532,ab,ka,social_and_political_relations,0.47009007423,4
533,ab,ka,spatial_relations,0.926983156683,3
534,ab,ka,speech_and_language,-0.260036353544,3
535,ab,ka,the_house,,0
536,ab,ka,time,0.0428055278894,10
537,ab,ka,warfare_and_hunting,0.293271312005,4
538,ab,kk,animals,1.0,1
539,ab,kk,basic_actions_and_technology,0.500551395861,3
540,ab,kk,body_parts,0.229023761576,7
541,ab,kk,clothing_and_grooming,,0
542,ab,kk,cognition,0.403968905034,7
543,ab,kk,emotion_and_values,0.0,2
544,ab,kk,food_and_drink,,0
545,ab,kk,kinship,0.341958262033,4
546,ab,kk,motion,0.0,2
547,ab,kk,physical_world,-0.608296192823,5
548,ab,kk,posession,-0.0695919629615,2
549,ab,kk,quantity,0.467495798206,11
550,ab,kk,sense_perception,,0
551,ab,kk,social_and_political_relations,0.356340808054,3
552,ab,kk,spatial_relations,0.034220285795,8
553,ab,kk,speech_and_language,0.823134408915,4
554,ab,kk,time,0.259799693502,9
555,ab,kk,warfare_and_hunting,0.433590285018,2
556,ab,kl,basic_actions_and_technology,-1.0,1
557,ab,kl,body_parts,0.529477850921,2
558,ab,kl,cognition,1.0,1
559,ab,kl,kinship,,0
560,ab,kl,motion,1.0,1
561,ab,kl,physical_world,-0.141248500585,3
562,ab,kl,quantity,0.489625459031,6
563,ab,kl,social_and_political_relations,0.11762570561,2
564,ab,kl,spatial_relations,0.117273627961,2
565,ab,kl,speech_and_language,-0.049351047483,1
566,ab,kl,the_house,-0.649510087562,1
567,ab,kl,time,0.0983787282262,10
568,ab,kn,agriculture_and_vegetation,,0
569,ab,kn,basic_actions_and_technology,0.982023452826,3
570,ab,kn,body_parts,0.996877557037,1
571,ab,kn,cognition,0.207576185319,5
572,ab,kn,emotion_and_values,0.352680040812,1
573,ab,kn,food_and_drink,,0
574,ab,kn,kinship,-0.138402133099,3
575,ab,kn,motion,1.0,2
576,ab,kn,physical_world,-0.0664613200287,4
577,ab,kn,posession,0.998959185679,3
578,ab,kn,quantity,0.347302524796,11
579,ab,kn,social_and_political_relations,0.0578052566687,3
580,ab,kn,spatial_relations,0.289208884548,5
581,ab,kn,speech_and_language,,0
582,ab,kn,time,-0.0877394135702,9
583,ab,kn,warfare_and_hunting,0.333333333333,3
584,ab,ko,agriculture_and_vegetation,1.0,1
585,ab,ko,animals,,0
586,ab,ko,basic_actions_and_technology,0.44699524377,2
587,ab,ko,body_parts,-0.190994059849,6
588,ab,ko,clothing_and_grooming,,0
589,ab,ko,cognition,0.0141289342826,7
590,ab,ko,emotion_and_values,-0.251951769791,3
591,ab,ko,food_and_drink,0.700841595361,1
592,ab,ko,kinship,0.619179877966,3
593,ab,ko,motion,0.591098774787,3
594,ab,ko,physical_world,0.496461511435,5
595,ab,ko,posession,0.0648604732656,4
596,ab,ko,quantity,0.182905042626,11
597,ab,ko,sense_perception,-1.0,1
598,ab,ko,social_and_political_relations,0.0298377343525,4
599,ab,ko,spatial_relations,0.393672147922,9
600,ab,ko,speech_and_language,1.0,1
601,ab,ko,the_house,,0
602,ab,ko,time,-0.0851785650634,10
603,ab,ko,warfare_and_hunting,0.304812127944,3
604,ab,la,animals,0.834658420062,1
605,ab,la,basic_actions_and_technology,0.477387433119,3
606,ab,la,body_parts,0.195283427335,4
607,ab,la,clothing_and_grooming,0.234608098932,2
608,ab,la,cognition,-0.311376176655,6
609,ab,la,emotion_and_values,0.3858265398,2
610,ab,la,food_and_drink,,0
611,ab,la,kinship,0.280307395079,4
612,ab,la,motion,0.697940548671,4
613,ab,la,physical_world,0.240922977481,5
614,ab,la,posession,0.596993558528,3
615,ab,la,quantity,0.37131401902,11
616,ab,la,sense_perception,0.599529274209,1
617,ab,la,social_and_political_relations,-0.00347545839975,4
618,ab,la,spatial_relations,0.396946432066,6
619,ab,la,speech_and_language,-0.569008480103,2
620,ab,la,the_house,-0.896513635437,1
621,ab,la,time,0.195214314735,10
622,ab,la,warfare_and_hunting,0.458664605015,4
623,ab,lt,agriculture_and_vegetation,,0
624,ab,lt,animals,,0
625,ab,lt,basic_actions_and_technology,0.333333333333,3
626,ab,lt,body_parts,0.553360532636,4
627,ab,lt,clothing_and_grooming,0.0,2
