"Var1","Var2","value","semantic_domain"
"Russian","Tsonga",0.545454545454546,"Agriculture and vegetation"
"Bashkir","Tsonga",0.636363636363637,"Agriculture and vegetation"
"Chuvash","Tsonga",0.727272727272727,"Agriculture and vegetation"
"Erzya","Tsonga",0.636363636363637,"Agriculture and vegetation"
"Estonian","Tsonga",0.454545454545454,"Agriculture and vegetation"
"Gagauz","Tsonga",0.545454545454546,"Agriculture and vegetation"
"Latvian","Tsonga",0.545454545454546,"Agriculture and vegetation"
"Vepsian","Tsonga",0.545454545454546,"Agriculture and vegetation"
"Czech","Tsonga",0.545454545454546,"Agriculture and vegetation"
"Bulgarian","Tsonga",0.636363636363637,"Agriculture and vegetation"
"Lithuanian","Tsonga",0.454545454545454,"Agriculture and vegetation"
"Kalmyk","Tsonga",0.363636363636363,"Agriculture and vegetation"
"Armenian","Tsonga",0.545454545454546,"Agriculture and vegetation"
