"l1","l2","imputed_semantic_domain","local_alignment","comparison_count","cult.dist"
"no","ka","Speech and language",-0.0216207337334846,6,NA
"sv","ka","Motion",-0.021565836268852,3,NA
"fi","ka","Spatial relations",-0.0214027015060186,17,NA
"et","ka","Quantity",-0.0213745840114427,13,NA
"hy","pt","The house",-0.0213205718473474,3,NA
"et","ka","The physical world",-0.0213043612852308,2,NA
"hy","sq","The body",-0.0212108462381492,6,NA
"sv","ka","The physical world",-0.0211890838009524,2,NA
"uk","br","Modern world",-0.0210322778908603,10,NA
"it","ka","Social and political relations",-0.020944289315261,8,NA
"fi","hy","Speech and language",-0.020795192705256,4,NA
"is","ka","The house",-0.020455361441994,1,NA
"br","ka","Emotions and values",-0.0201021651301543,6,NA
"br","ko","Basic actions and technology",-0.0200779788647039,12,NA
"ka","he","Sense perception",-0.020040794723986,7,NA
"en","ka","Basic actions and technology",-0.0200089145770645,6,NA
"sq","br","Agriculture and vegetation",-0.019943388063225,2,NA
"cs","ka","The house",-0.0198094648349067,1,NA
"hu","ka","Cognition",-0.0197417026631673,16,NA
"sv","ka","Sense perception",-0.0195609877872312,9,NA
"hy","el","Spatial relations",-0.018794053774339,13,NA
"uk","ka","Possession",-0.0187016988648954,2,NA
"hy","eu","Possession",-0.0180457966806164,3,NA
"sk","ka","Speech and language",-0.0179956517029853,6,NA
"fa","br","Agriculture and vegetation",-0.0178903658026303,4,NA
"hr","br","Speech and language",-0.0177545840961755,11,NA
"sq","br","Clothing and grooming",-0.0176684559080645,3,NA
"is","ka","Motion",-0.017390150238612,3,NA
"cs","ka","Basic actions and technology",-0.017188301278114,7,NA
"ko","ka","Kinship",-0.0170050411106771,20,NA
"ka","he","Kinship",-0.0169416600457194,26,NA
"pl","br","Speech and language",-0.0169232911638762,10,NA
"br","ro","Speech and language",-0.0167836574913564,12,NA
"is","ja","Miscellaneous function words",-0.0163929594276782,11,NA
"hr","ka","Quantity",-0.016366296872061,13,NA
"no","ka","Possession",-0.0161297218087258,1,NA
"br","ko","Speech and language",-0.0160686024212015,5,NA
"hu","ka","The house",-0.0159084789293358,1,NA
"de","ka","Spatial relations",-0.0158647677574843,11,NA
"et","ka","Emotions and values",-0.015667198599577,10,NA
"hy","no","Possession",-0.0155901706692472,3,NA
"da","ka","Kinship",-0.0152839054972026,20,NA
"bg","br","Animals",-0.0150931964812245,4,NA
"no","ka","The body",-0.0147620271184415,14,NA
"br","ca","Miscellaneous function words",-0.0146971522504077,8,NA
"no","ka","Basic actions and technology",-0.0146634371417199,8,NA
"da","br","The body",-0.014661471999863,30,NA
"en","ka","Kinship",-0.014510618426195,22,NA
"hy","ko","The body",-0.0143145656541759,6,NA
"en","ka","Emotions and values",-0.0140524319971962,10,NA
"hy","sq","Speech and language",-0.0140330431677624,4,NA
"hy","eu","Quantity",-0.013934438377809,12,NA
"ko","ka","Spatial relations",-0.0137072540385399,8,NA
"et","ka","Kinship",-0.0136429344791267,23,NA
"hy","he","Speech and language",-0.0135757904224494,4,NA
"lv","br","Animals",-0.0133567365316541,3,NA
"hy","sv","The house",-0.013247520068138,2,NA
"no","ka","Time",-0.0129386806537457,26,NA
"hy","is","Animals",-0.0127375006196988,2,NA
"nl","ka","Cognition",-0.0125942723851814,12,NA
"lt","br","Speech and language",-0.0125145298658604,10,NA
"sk","ka","Social and political relations",-0.0122601648045163,9,NA
"ko","ka","Social and political relations",-0.0120882352393831,6,NA
"fi","ka","Kinship",-0.0119690782187025,23,NA
"lt","ka","Basic actions and technology",-0.0118916435666852,9,NA
"fa","hy","Modern world",-0.0118243492668537,3,NA
"en","ka","Quantity",-0.0117326719625888,12,NA
"hy","nl","Animals",-0.0117165263963425,2,NA
"sk","ka","Basic actions and technology",-0.0113361161647101,9,NA
"hy","is","Time",-0.0111836240573851,25,NA
"lt","ka","Spatial relations",-0.0110073125665613,18,NA
"no","ka","The house",-0.0109056167339298,1,NA
"ka","eu","Kinship",-0.0109027528880754,25,NA
"pl","ka","Motion",-0.0105023095634077,4,NA
"et","ka","Cognition",-0.0104384034849282,13,NA
"el","ka","Cognition",-0.0104343236838384,12,NA
"tr","ka","Emotions and values",-0.010384147972642,13,NA
"sv","ka","Cognition",-0.00997657004098589,11,NA
"da","ka","The body",-0.00961101030133666,13,NA
"et","ka","Speech and language",-0.00947598192884838,6,NA
"is","ka","Quantity",-0.00945373115748435,16,NA
"no","ka","Spatial relations",-0.00941906889962846,15,NA
"hu","br","Speech and language",-0.00922786007419836,12,NA
"hu","ka","Basic actions and technology",-0.00895720835576536,9,NA
"sk","ka","Miscellaneous function words",-0.00891899184745096,16,NA
"sq","ka","Cognition",-0.0088335817206248,14,NA
"el","ka","Basic actions and technology",-0.00875792964298546,11,NA
"fi","ka","Quantity",-0.00874661221420229,14,NA
"cs","ka","Spatial relations",-0.0087024381553093,15,NA
"hy","el","The house",-0.00849933695087249,2,0.459090909090909
"pt","ka","The body",-0.00846711611353289,15,NA
"hy","sq","The physical world",-0.00820678710928686,3,0.6
"no","ka","Motion",-0.00819863207598012,3,NA
"sk","ka","Motion",-0.00789562561322995,3,NA
"pt","ka","Time",-0.00760973302432003,27,NA
"br","ko","Time",-0.00759210367854231,19,NA
"br","ja","Miscellaneous function words",-0.00754473777942459,7,NA
"ko","ka","Time",-0.00748809895138245,22,NA
"it","ka","Cognition",-0.00743138948699297,11,NA
"hu","ka","The body",-0.00694119402432902,16,NA
"ro","ka","Speech and language",-0.00687219380996277,7,NA
"sq","br","Quantity",-0.0068585059750764,20,NA
"de","ka","Sense perception",-0.00680440788855664,6,NA
"ro","ka","Sense perception",-0.00677212184460419,8,NA
"br","ka","Modern world",-0.00672294287995248,1,NA
"sk","ka","The physical world",-0.00669369736678142,2,NA
"pt","ka","The physical world",-0.00667324850382456,2,NA
"hy","tr","Emotions and values",-0.00659132313279313,8,0.586666666666667
"ru","ka","Possession",-0.00645928060157906,1,NA
"hy","ja","Possession",-0.00643383708695873,2,0.548863636363637
"is","ka","Kinship",-0.00637048780040545,26,NA
"ka","eu","Social and political relations",-0.00616060966818295,8,NA
"et","hy","Motion",-0.00610359859278015,5,NA
"hy","es","Food and drink",-0.00601981917845594,1,NA
"it","ka","Animals",-0.00595824593818386,1,NA
"is","ka","The body",-0.00588269751592073,14,NA
"hy","ko","Spatial relations",-0.00587117004234524,10,NA
"en","ka","Time",-0.00570877099471167,28,NA
"ka","he","Motion",-0.00564435688052255,3,NA
"hu","hy","The house",-0.00536567267132163,2,0.502727272727272
"de","br","Kinship",-0.00531698864509684,5,NA
"et","hy","Quantity",-0.00519550479883048,11,NA
"hy","sv","Modern world",-0.00517989803503321,2,NA
"hy","eu","Speech and language",-0.00495015229706046,4,NA
"fi","ka","Emotions and values",-0.00493554849083498,14,NA
"no","br","Sense perception",-0.00488095473075257,17,NA
"fa","ka","Social and political relations",-0.00470666808536746,9,NA
"hy","ca","The house",-0.00446149601470032,2,NA
"sv","ka","Social and political relations",-0.00444035534687932,9,NA
"hy","eu","Kinship",-0.00439131406084602,16,NA
"uk","br","Animals",-0.00438559870994164,3,NA
"da","ka","Spatial relations",-0.00403417895010187,13,NA
"hy","br","Food and drink",-0.00398063739807381,1,NA
"no","ka","The physical world",-0.00389045244994167,2,NA
"de","br","Basic actions and technology",-0.00383876381810142,20,NA
"sv","ka","Kinship",-0.00378606696706615,21,NA
"br","ko","Modern world",-0.00370037049601327,6,NA
"it","ka","Basic actions and technology",-0.00357209710574357,6,NA
"hy","sk","Food and drink",-0.00344391851649607,1,NA
"es","ka","Sense perception",-0.00341702369430179,9,NA
"et","ka","Animals",-0.00324416064859494,1,NA
"fa","br","Miscellaneous function words",-0.00306512912922094,7,NA
"br","ka","Motion",-0.0029953042632405,3,NA
"de","br","Social and political relations",-0.00290059833595555,2,NA
"br","ko","The body",-0.00282462805222323,24,NA
"no","br","The body",-0.00265581963686702,30,NA
"no","ka","Quantity",-0.00260720493356162,15,NA
"sq","ka","Motion",-0.00252552131652324,4,NA
"hy","tr","Food and drink",-0.00246552877968194,1,NA
"is","br","Animals",-0.00241232674817084,3,NA
"et","hy","The house",-0.00228111705687501,2,0.65090909090909
"ru","ka","Basic actions and technology",-0.00222675338126975,8,NA
"en","br","Speech and language",-0.00219751254478737,10,NA
"pt","ka","Social and political relations",-0.00182597965017857,11,NA
"sv","ka","Basic actions and technology",-0.00175446651360701,9,NA
"is","ka","Time",-0.00174095102186042,32,NA
"nl","br","Animals",-0.00164234276911844,4,NA
"en","ka","Spatial relations",-0.00146881605443357,12,NA
"et","ja","Social and political relations",-0.00138321661110177,16,0.3
"hy","eu","Emotions and values",-0.00138301654993116,5,NA
"da","br","The house",-0.0013728275381987,6,NA
"tr","ka","Miscellaneous function words",-0.000992324916298807,16,NA
"pt","ka","Cognition",-0.000962936813984437,14,NA
"tr","ka","Social and political relations",-0.00093652907804475,12,NA
"de","ka","Quantity",-0.000812259160418644,12,NA
"bg","br","Speech and language",-0.000543354057613948,10,NA
"et","ka","Time",-0.000427267593326646,34,NA
"bg","br","Agriculture and vegetation",-0.000424992771234834,3,NA
"da","br","Kinship",-0.000343566576940875,15,NA
"sq","ka","Kinship",-0.000236915854155009,27,NA
"fr","ka","Miscellaneous function words",-0.000189715330874287,12,NA
"it","ka","Speech and language",-0.000181750837522296,6,NA
"de","ka","The body",-0.000181442343219181,2,NA
"br","ka","Time",-0.0001175108145455,20,NA
"de","ja","Miscellaneous function words",0.000104548639998434,10,NA
"hy","ca","The body",0.000130390765761815,6,NA
"fi","hy","Possession",0.000232180653390122,4,NA
"sv","ka","Animals",0.000358192594695141,1,NA
"cs","ka","Quantity",0.000520701122664829,14,NA
"hy","is","Spatial relations",0.000544504945968479,14,NA
"ru","ka","Miscellaneous function words",0.000571989561586203,12,NA
"hy","no","Emotions and values",0.000576292878449954,7,NA
"uk","ka","Social and political relations",0.000729662361424056,9,NA
"ka","eu","The body",0.000733886779456615,16,NA
"hu","ka","Speech and language",0.000839795219883404,8,NA
"ca","ka","The house",0.000936863903893345,1,NA
"br","ro","Miscellaneous function words",0.00107232705438351,9,NA
"lt","ka","Motion",0.00142261079828168,3,NA
"cs","ka","Kinship",0.00155823399080942,24,NA
"sk","ka","Cognition",0.00163051384631558,12,NA
"bg","ka","Social and political relations",0.00169675906569269,8,NA
"fr","ka","Spatial relations",0.00171174999101289,11,NA
"en","ka","Speech and language",0.00172107842510429,6,NA
"ka","he","Quantity",0.00198630710647405,13,NA
"hy","sk","The house",0.00212155635171691,2,NA
"fa","ka","Modern world",0.00212254247957337,2,NA
"da","ka","The physical world",0.00224348461669739,2,NA
"hy","it","Food and drink",0.00239787841589558,1,NA
"lv","br","The house",0.00243928876172832,6,NA
"br","ca","Animals",0.0024511342862595,4,NA
"hy","is","Social and political relations",0.00253898217576416,6,0.575
"sq","br","Time",0.00260233819106824,25,NA
"hy","ru","The physical world",0.00276062698734895,3,0.638333333333333
"hy","cs","Motion",0.00277740038750721,3,NA
"hy","nl","The physical world",0.00290648690473552,3,0.378333333333333
"es","ka","Social and political relations",0.00312167233500815,9,NA
"hy","he","Motion",0.00331848410709616,4,NA
"hu","ka","Quantity",0.00339314825034729,14,NA
"cs","ka","Speech and language",0.003562151031991,7,NA
"tr","ka","Animals",0.00375281129117399,2,NA
"fi","ka","Sense perception",0.00413508138289343,10,NA
"hr","ka","Sense perception",0.00413825211806869,10,NA
"et","hy","Time",0.00426644738798544,26,NA
"bg","ja","Agriculture and vegetation",0.0043967951950769,4,0.272727272727273
"ko","ka","Motion",0.00455066356501525,2,NA
"br","eu","Time",0.00456532090231143,29,NA
"de","ka","Time",0.00458687085630531,25,NA
"fa","ka","Spatial relations",0.00463901266298163,18,NA
"hy","uk","The physical world",0.00469779839992327,2,0.52
"br","it","Kinship",0.00478483840214804,17,NA
"cs","ka","Animals",0.00482026607226911,1,NA
"br","ko","Kinship",0.00492815646396034,15,NA
"ja","ka","The house",0.00512812801979096,1,NA
"cs","ka","Social and political relations",0.00514652419221373,8,NA
"sq","br","The house",0.00525510350660106,6,NA
"hy","sq","Food and drink",0.00529000193906545,1,NA
"it","ka","Time",0.00535441403863502,27,NA
"ro","ka","Cognition",0.00538372034256767,11,NA
"lt","ka","Speech and language",0.00546943684536363,6,NA
"de","br","Time",0.00548717187378218,18,NA
"et","br","Time",0.00553132548189446,30,NA
"no","ja","Modern world",0.00562116905311495,13,NA
"br","ka","Miscellaneous function words",0.00582301520545186,7,NA
"en","ka","The body",0.00587215709163657,13,NA
"hy","pt","Spatial relations",0.00608022004072664,13,NA
"pt","ja","Modern world",0.0061417818655126,13,NA
"tr","ka","Spatial relations",0.00634141457464574,16,NA
"sv","br","The body",0.00638773066837143,30,NA
"ru","ka","The house",0.0064733291028665,1,NA
"br","ko","Agriculture and vegetation",0.00673788133195726,3,NA
"tr","ka","The house",0.0068322786583953,1,NA
"hy","pl","The body",0.00685452780542115,6,NA
"el","ka","Speech and language",0.00687312443824485,7,NA
"hy","ru","Possession",0.00688897664597606,3,0.486363636363636
"sv","br","The house",0.00695560869242041,6,NA
"br","ja","Food and drink",0.00713020656983692,9,NA
"hu","hy","Sense perception",0.00738924530422855,5,NA
"lv","br","Food and drink",0.00741127829720372,9,NA
"br","ar","Speech and language",0.00741618384752729,10,NA
"lt","ka","Miscellaneous function words",0.00748955409376138,16,NA
"hu","ka","Motion",0.00749129695408178,3,NA
"bg","ka","Modern world",0.00750085575755217,1,NA
"fi","hy","Animals",0.00762984709593741,2,NA
"sv","ka","Speech and language",0.00780400176765696,6,NA
"ro","ka","The physical world",0.0078292564361112,2,NA
"hy","ja","Social and political relations",0.00795790503543048,5,0.526538461538462
"nl","ka","Motion",0.00813363038433466,3,NA
"fi","hy","Basic actions and technology",0.00815411519222198,11,NA
"hy","en","Food and drink",0.00835474852388633,1,NA
"ro","ka","Motion",0.00840855864560648,3,NA
"br","ja","Kinship",0.00849787642633072,22,NA
"bg","ka","Kinship",0.00850573372293772,23,NA
"bg","ka","Basic actions and technology",0.00853604868163506,8,NA
"da","br","Basic actions and technology",0.00856232380317167,34,NA
"da","ka","Basic actions and technology",0.00868305274573907,8,NA
"hr","ka","Speech and language",0.00870872429277119,7,NA
"fr","ka","The body",0.00897849828721499,15,NA
"hy","eu","Basic actions and technology",0.00898030942706928,9,NA
"hy","en","Emotions and values",0.00904979721753711,6,0.544
"lt","ca","The house",0.00928522196119006,19,NA
"ru","br","Animals",0.00937373802676673,4,NA
"lv","br","Speech and language",0.00943207481914428,4,NA
