"l1","l2","imputed_semantic_domain","rho","nconcepts_compared","cult.dist"
"ab","bg","animals",-0.0390445193413,1,NA
"ab","bg","basic_actions_and_technology",0.232868280996,3,0.541666666666666
"ab","bg","body_parts",-0.430418287232,6,NA
"ab","bg","clothing_and_grooming",NA,0,NA
"ab","bg","cognition",-0.132661896056,9,NA
"ab","bg","emotion_and_values",0.438852389415,2,NA
"ab","bg","food_and_drink",0.863984020027,1,NA
"ab","bg","kinship",-0.106100344736,4,0.634285714285714
"ab","bg","motion",-0.0553187708494,5,NA
"ab","bg","physical_world",0.502599297592,7,NA
"ab","bg","posession",0.208592417179,3,NA
"ab","bg","quantity",0.680001836757,12,NA
"ab","bg","sense_perception",0.242195263522,1,NA
"ab","bg","social_and_political_relations",0.236556759933,6,0.641538461538462
"ab","bg","spatial_relations",0.189814755276,8,NA
"ab","bg","speech_and_language",-0.188373365084,5,NA
"ab","bg","the_house",-0.241691630161,1,0.615454545454545
"ab","bg","time",0.114080455602,11,NA
"ab","bg","warfare_and_hunting",0.371346516375,3,NA
"ab","bn","animals",NA,0,NA
"ab","bn","basic_actions_and_technology",-0.117003973347,4,0.75
"ab","bn","body_parts",-1,3,NA
"ab","bn","cognition",0.316107027884,7,NA
"ab","bn","emotion_and_values",0.333333333333,3,NA
"ab","bn","kinship",0.417245976058,4,0.496071428571429
"ab","bn","motion",0.890740893157,4,NA
"ab","bn","physical_world",0.268803988641,5,NA
"ab","bn","posession",0.790196776164,1,NA
"ab","bn","quantity",0.1402579312,7,NA
"ab","bn","sense_perception",-1,1,NA
"ab","bn","social_and_political_relations",0.767399360499,2,0.795769230769231
"ab","bn","spatial_relations",0.0088909987992,5,NA
"ab","bn","speech_and_language",0.743419250117,2,NA
"ab","bn","the_house",NA,0,0.822727272727273
"ab","bn","time",0.28764657394,8,NA
"ab","bn","warfare_and_hunting",-0.154806847203,3,NA
"ab","br","animals",NA,0,NA
"ab","br","basic_actions_and_technology",0.969119860572,4,NA
"ab","br","body_parts",-0.199241978285,5,NA
"ab","br","clothing_and_grooming",NA,0,NA
"ab","br","cognition",0.104711568964,6,NA
"ab","br","emotion_and_values",0.866314142608,2,NA
"ab","br","food_and_drink",NA,0,NA
"ab","br","kinship",0.640685576116,3,NA
"ab","br","motion",0.121059133743,4,NA
"ab","br","physical_world",0.0208408117228,5,NA
"ab","br","posession",0.349147336675,3,NA
"ab","br","quantity",0.461021749982,7,NA
"ab","br","sense_perception",0.93458903158,1,NA
"ab","br","social_and_political_relations",0.387199592382,5,NA
"ab","br","spatial_relations",-0.0762908011672,4,NA
"ab","br","speech_and_language",0.698816065356,3,NA
"ab","br","the_house",1,1,NA
"ab","br","time",0.162071765085,9,NA
"ab","br","warfare_and_hunting",-0.842949751362,1,NA
"ab","ca","agriculture_and_vegetation",NA,0,NA
"ab","ca","animals",NA,0,NA
"ab","ca","basic_actions_and_technology",0.676121219943,4,NA
"ab","ca","body_parts",0.135689759207,8,NA
"ab","ca","clothing_and_grooming",0.56949741883,2,NA
"ab","ca","cognition",-0.0392898312685,9,NA
"ab","ca","emotion_and_values",-0.242415200129,3,NA
"ab","ca","food_and_drink",NA,0,NA
"ab","ca","kinship",-0.0418202870599,5,NA
"ab","ca","motion",0.196117901756,4,NA
"ab","ca","physical_world",0.255162975249,6,NA
"ab","ca","posession",-0.106014024125,4,NA
"ab","ca","quantity",0.570839169163,15,NA
"ab","ca","sense_perception",0.711639185132,1,NA
"ab","ca","social_and_political_relations",0.394676272377,4,NA
"ab","ca","spatial_relations",0.311404240422,9,NA
"ab","ca","speech_and_language",0.104773534324,5,NA
"ab","ca","the_house",1,1,NA
"ab","ca","time",0.239113229254,12,NA
"ab","ca","warfare_and_hunting",-0.0373593004792,3,NA
"ab","ce","agriculture_and_vegetation",NA,0,NA
"ab","ce","animals",1,1,NA
"ab","ce","basic_actions_and_technology",0.292926213042,4,NA
"ab","ce","body_parts",0.0778843884737,3,NA
"ab","ce","clothing_and_grooming",1,1,NA
"ab","ce","cognition",0.189075450146,8,NA
"ab","ce","emotion_and_values",0.277653131717,3,NA
"ab","ce","food_and_drink",NA,0,NA
"ab","ce","kinship",-0.771514432848,2,NA
"ab","ce","motion",-0.0440892723088,4,NA
"ab","ce","physical_world",0.333333333333,3,NA
"ab","ce","posession",0.990724978358,1,NA
"ab","ce","quantity",0.36619465878,13,NA
"ab","ce","sense_perception",0.453182894334,2,NA
"ab","ce","social_and_political_relations",-0.826418927501,2,NA
"ab","ce","spatial_relations",0.0977928100408,7,NA
"ab","ce","speech_and_language",0.789775473593,3,NA
"ab","ce","the_house",-0.115014708882,1,NA
"ab","ce","time",0.0184868450797,9,NA
"ab","ce","warfare_and_hunting",0.786724969416,3,NA
"ab","cs","agriculture_and_vegetation",NA,0,0.363636363636364
"ab","cs","animals",1,1,NA
"ab","cs","basic_actions_and_technology",0.905856607144,3,0.75
"ab","cs","body_parts",0.435914294369,5,NA
"ab","cs","clothing_and_grooming",0.387436197724,1,NA
"ab","cs","cognition",0.261801968154,10,NA
"ab","cs","emotion_and_values",0.002166802922,3,NA
"ab","cs","food_and_drink",NA,0,NA
"ab","cs","kinship",0.513412770612,3,0.638928571428571
"ab","cs","motion",0.173055432973,4,NA
"ab","cs","physical_world",0.157647914373,6,NA
"ab","cs","posession",-0.205721028614,5,NA
"ab","cs","quantity",0.2540731621,15,NA
"ab","cs","sense_perception",1,1,NA
"ab","cs","social_and_political_relations",0.330114411682,4,0.598076923076923
"ab","cs","spatial_relations",-0.174602116654,7,NA
"ab","cs","speech_and_language",0.256070603207,1,NA
"ab","cs","the_house",0.971029976866,1,0.626363636363636
"ab","cs","time",0.216091511838,13,NA
"ab","cs","warfare_and_hunting",0.153352917485,3,NA
"ab","cv","basic_actions_and_technology",-0.400903505018,1,0.5
"ab","cv","body_parts",0.00958580807567,3,NA
"ab","cv","clothing_and_grooming",NA,0,NA
"ab","cv","cognition",0.155278130286,6,NA
"ab","cv","emotion_and_values",-0.611197907565,2,NA
"ab","cv","food_and_drink",-0.576614825516,1,NA
"ab","cv","kinship",0.0525069964277,3,0.672857142857143
"ab","cv","motion",1,2,NA
"ab","cv","physical_world",NA,0,NA
"ab","cv","posession",0.965496863988,3,NA
"ab","cv","quantity",0.0569679187958,6,NA
"ab","cv","social_and_political_relations",0.178594260698,2,0.58923076923077
"ab","cv","spatial_relations",-1,1,NA
"ab","cv","speech_and_language",0.503377127001,4,NA
"ab","cv","time",-0.0964151572343,9,NA
"ab","cy","animals",0.8810890759,1,NA
"ab","cy","basic_actions_and_technology",0.499363578876,4,NA
"ab","cy","body_parts",0.5,4,NA
"ab","cy","clothing_and_grooming",NA,0,NA
"ab","cy","cognition",-0.0557968069106,7,NA
"ab","cy","emotion_and_values",-0.655567826143,1,NA
"ab","cy","food_and_drink",-1,1,NA
"ab","cy","kinship",0.375606748826,4,NA
"ab","cy","motion",0.402087297243,4,NA
"ab","cy","physical_world",-1,3,NA
"ab","cy","posession",0.151680055945,4,NA
"ab","cy","quantity",0.367516602452,11,NA
"ab","cy","sense_perception",NA,0,NA
"ab","cy","social_and_political_relations",0.731039101495,2,NA
"ab","cy","spatial_relations",0.307738459826,7,NA
"ab","cy","speech_and_language",0.013721935098,4,NA
"ab","cy","the_house",NA,0,NA
"ab","cy","time",0.181631657625,10,NA
"ab","cy","warfare_and_hunting",0.454391946747,4,NA
"ab","da","animals",NA,0,NA
"ab","da","basic_actions_and_technology",0.489628881919,4,NA
"ab","da","body_parts",0.321532639572,3,NA
"ab","da","clothing_and_grooming",-0.518599776828,1,NA
"ab","da","cognition",-0.0974854836364,5,NA
"ab","da","emotion_and_values",0.226937643164,2,NA
"ab","da","food_and_drink",NA,0,NA
"ab","da","kinship",0.343573644182,3,NA
"ab","da","motion",0.963542816277,3,NA
"ab","da","physical_world",0.590563415285,5,NA
"ab","da","posession",0.358588633044,3,NA
"ab","da","quantity",0.427617070332,13,NA
"ab","da","sense_perception",0.759360460848,1,NA
"ab","da","social_and_political_relations",-0.248182183584,5,NA
"ab","da","spatial_relations",0.115801384507,7,NA
"ab","da","speech_and_language",0.151975262052,5,NA
"ab","da","the_house",NA,0,NA
"ab","da","time",0.150847737575,10,NA
"ab","da","warfare_and_hunting",0.874697066498,2,NA
"ab","de","animals",-1,1,NA
"ab","de","basic_actions_and_technology",0.439825130435,4,NA
"ab","de","body_parts",-0.37068810048,5,NA
"ab","de","clothing_and_grooming",NA,0,NA
"ab","de","cognition",0.173161728405,9,NA
"ab","de","emotion_and_values",-0.36081354887,4,NA
"ab","de","food_and_drink",1,1,NA
"ab","de","kinship",-0.368844482343,3,NA
"ab","de","motion",-0.0817195271288,4,NA
"ab","de","physical_world",-0.0725314146782,7,NA
"ab","de","posession",-0.304895592477,5,NA
"ab","de","quantity",0.464734753264,13,NA
"ab","de","sense_perception",1,1,NA
"ab","de","social_and_political_relations",-0.331941888391,5,NA
"ab","de","spatial_relations",0.00505771454625,13,NA
"ab","de","speech_and_language",-0.530371721704,7,NA
"ab","de","the_house",NA,0,NA
"ab","de","time",0.0459606221251,13,NA
"ab","de","warfare_and_hunting",0.335764322783,4,NA
"ab","el","agriculture_and_vegetation",NA,0,0.454545454545454
"ab","el","animals",0.109670143426,1,NA
"ab","el","basic_actions_and_technology",0.830947884899,3,0.777916666666667
"ab","el","body_parts",0.0136402715107,4,NA
"ab","el","clothing_and_grooming",-1,1,NA
"ab","el","cognition",0.0149869408919,9,NA
"ab","el","emotion_and_values",-0.64757251175,2,NA
"ab","el","food_and_drink",NA,0,NA
"ab","el","kinship",0.807356942005,4,0.616071428571428
"ab","el","motion",0.7875735343,3,NA
"ab","el","physical_world",0.076439901759,5,NA
"ab","el","posession",-0.46742306524,3,NA
"ab","el","quantity",0.203271800555,11,NA
"ab","el","sense_perception",NA,0,NA
"ab","el","social_and_political_relations",0.456431409181,4,0.608846153846154
"ab","el","spatial_relations",0.296184453094,8,NA
"ab","el","speech_and_language",-0.0917881594186,6,NA
"ab","el","the_house",NA,0,0.658181818181818
"ab","el","time",0.00198966279275,12,NA
"ab","el","warfare_and_hunting",0.38395987905,2,NA
"ab","en","basic_actions_and_technology",0.513405335471,5,0.708333333333334
"ab","en","body_parts",0.266685772329,3,NA
"ab","en","clothing_and_grooming",NA,0,NA
"ab","en","cognition",0.439730058239,7,NA
"ab","en","emotion_and_values",-0.0476440937268,4,NA
"ab","en","food_and_drink",-1,1,NA
"ab","en","kinship",0.167154582229,4,0.673571428571429
"ab","en","motion",-0.115191642806,5,NA
"ab","en","physical_world",-0.296010630901,8,NA
"ab","en","posession",-0.222298304958,5,NA
"ab","en","quantity",0.450713695753,12,NA
"ab","en","sense_perception",0.369858248709,1,NA
"ab","en","social_and_political_relations",-0.469865567448,5,0.656153846153846
"ab","en","spatial_relations",0.251284141127,12,NA
"ab","en","speech_and_language",-0.121342908583,6,NA
"ab","en","time",-0.163353211201,10,NA
"ab","en","warfare_and_hunting",0.316069883976,3,NA
"ab","es","agriculture_and_vegetation",NA,0,0.363636363636364
"ab","es","animals",-0.605227500866,1,NA
"ab","es","basic_actions_and_technology",0.957560573991,4,0.583333333333334
"ab","es","body_parts",0.494831476402,4,NA
"ab","es","clothing_and_grooming",0.124029835646,1,NA
"ab","es","cognition",0.0829838531412,9,NA
"ab","es","emotion_and_values",-0.549446260847,2,NA
"ab","es","food_and_drink",NA,0,NA
"ab","es","kinship",0.280504513388,5,0.565714285714285
"ab","es","motion",0.509755817664,4,NA
"ab","es","physical_world",0.240586295376,4,NA
"ab","es","posession",0.189010430004,5,NA
"ab","es","quantity",0.667951945663,12,NA
"ab","es","sense_perception",0.870002424842,1,NA
"ab","es","social_and_political_relations",0.0517851334918,6,0.653461538461539
"ab","es","spatial_relations",-0.278658875513,8,NA
"ab","es","speech_and_language",0.306533363095,4,NA
"ab","es","the_house",NA,0,0.745454545454545
"ab","es","time",0.138677317339,11,NA
"ab","es","warfare_and_hunting",0.0443589930733,3,NA
"ab","eu","agriculture_and_vegetation",1,1,NA
"ab","eu","animals",-0.25087929963,1,NA
"ab","eu","basic_actions_and_technology",0.267624989043,3,NA
"ab","eu","body_parts",-0.22985816195,5,NA
"ab","eu","clothing_and_grooming",-0.707614364929,1,NA
"ab","eu","cognition",0.507656595971,8,NA
"ab","eu","emotion_and_values",-0.0257487738811,1,NA
"ab","eu","food_and_drink",0.407291629319,1,NA
"ab","eu","kinship",0.656914235528,4,NA
"ab","eu","motion",0.579664269638,5,NA
"ab","eu","physical_world",0.542236577921,6,NA
"ab","eu","posession",0.248760484792,5,NA
"ab","eu","quantity",0.276343948049,12,NA
"ab","eu","sense_perception",0.481332517154,1,NA
"ab","eu","social_and_political_relations",-0.120931361077,4,NA
"ab","eu","spatial_relations",0.555103670443,5,NA
"ab","eu","speech_and_language",0.233456983828,4,NA
"ab","eu","the_house",NA,0,NA
"ab","eu","time",-0.0555663236284,9,NA
"ab","eu","warfare_and_hunting",0.0773612643628,4,NA
"ab","fi","agriculture_and_vegetation",NA,0,NA
"ab","fi","animals",NA,0,NA
"ab","fi","basic_actions_and_technology",0.0683659353724,6,NA
"ab","fi","body_parts",0.298367524824,4,NA
"ab","fi","clothing_and_grooming",-0.408226927329,1,NA
"ab","fi","cognition",0.296942913005,8,NA
"ab","fi","emotion_and_values",-0.0532776073135,4,NA
"ab","fi","food_and_drink",-0.944457249133,1,NA
"ab","fi","kinship",0.537413814555,4,NA
"ab","fi","motion",0.200291360871,4,NA
"ab","fi","physical_world",-0.287516748863,7,NA
"ab","fi","posession",0.481323586417,4,NA
"ab","fi","quantity",0.782767481682,12,NA
"ab","fi","social_and_political_relations",-0.0416220438202,4,NA
"ab","fi","spatial_relations",0.527474821176,8,NA
"ab","fi","speech_and_language",-0.287719219855,4,NA
"ab","fi","the_house",-1,1,NA
"ab","fi","time",0.0382256852405,10,NA
"ab","fi","warfare_and_hunting",0.0820296135837,3,NA
"ab","fr","agriculture_and_vegetation",NA,0,0.454545454545454
"ab","fr","animals",0.599800314747,1,NA
"ab","fr","basic_actions_and_technology",0.953491221703,5,0.62125
"ab","fr","body_parts",0.371075754754,5,NA
"ab","fr","clothing_and_grooming",-1,1,NA
"ab","fr","cognition",0.00513457914962,8,NA
"ab","fr","emotion_and_values",-0.486988343459,2,NA
"ab","fr","food_and_drink",1,1,NA
"ab","fr","kinship",0.297932503728,4,0.638571428571429
"ab","fr","motion",0.375682810171,4,NA
"ab","fr","physical_world",0.054936079254,6,NA
"ab","fr","posession",0.106817315051,4,NA
"ab","fr","quantity",0.335270546129,13,NA
"ab","fr","sense_perception",0.659438164295,1,NA
"ab","fr","social_and_political_relations",0.0525965101176,3,0.649615384615385
"ab","fr","spatial_relations",0.206277905938,10,NA
"ab","fr","speech_and_language",0.29188648791,4,NA
"ab","fr","time",0.40907417494,10,NA
"ab","fr","warfare_and_hunting",0.5491868401,3,NA
"ab","ga","basic_actions_and_technology",-0.148742105482,5,0.530833333333334
"ab","ga","body_parts",0.003628991659,6,NA
"ab","ga","clothing_and_grooming",NA,0,NA
"ab","ga","cognition",-0.244194106467,8,NA
"ab","ga","emotion_and_values",0.188786421219,4,NA
"ab","ga","kinship",0.119456287181,4,0.603571428571428
"ab","ga","motion",0.893367176468,4,NA
"ab","ga","physical_world",-0.911584664789,3,NA
"ab","ga","posession",0.186936677159,5,NA
"ab","ga","quantity",0.309021329021,11,NA
"ab","ga","sense_perception",NA,0,NA
"ab","ga","social_and_political_relations",0.210671943708,4,0.536538461538462
"ab","ga","spatial_relations",0.344243265253,13,NA
"ab","ga","speech_and_language",0.208806905482,5,NA
"ab","ga","the_house",-0.105778493085,1,0.48
"ab","ga","time",0.16410616984,11,NA
"ab","ga","warfare_and_hunting",-0.811122054337,2,NA
"ab","he","animals",-0.638566624773,1,NA
"ab","he","basic_actions_and_technology",-0.024013308177,2,0.666666666666666
"ab","he","body_parts",0.0800945427743,8,NA
"ab","he","clothing_and_grooming",1,1,NA
"ab","he","cognition",-0.179058571556,8,NA
"ab","he","emotion_and_values",-0.47448342067,4,NA
"ab","he","food_and_drink",1,1,NA
"ab","he","kinship",-0.0863123090994,5,0.423928571428572
"ab","he","motion",0.467987174378,5,NA
"ab","he","physical_world",0.0471703778939,6,NA
"ab","he","posession",-0.473432049549,3,NA
"ab","he","quantity",0.206951152193,14,NA
"ab","he","sense_perception",0.927319968884,1,NA
"ab","he","social_and_political_relations",0.218713458901,6,0.645769230769231
"ab","he","spatial_relations",-0.1284964929,8,NA
"ab","he","speech_and_language",0.179618240177,3,NA
"ab","he","the_house",-0.904637734329,1,0.660909090909091
"ab","he","time",-0.303248413208,11,NA
"ab","he","warfare_and_hunting",0.040305197805,3,NA
"ab","hi","agriculture_and_vegetation",NA,0,NA
"ab","hi","animals",NA,0,NA
"ab","hi","basic_actions_and_technology",0.564326858209,5,NA
"ab","hi","body_parts",0.255366313368,5,NA
"ab","hi","clothing_and_grooming",0.10627291232,2,NA
"ab","hi","cognition",0.0705648961063,9,NA
"ab","hi","emotion_and_values",-0.48077339747,3,NA
"ab","hi","food_and_drink",-0.665571328722,1,NA
"ab","hi","kinship",-0.957397991235,3,NA
"ab","hi","motion",0.911385077177,3,NA
"ab","hi","physical_world",0.723013625274,4,NA
"ab","hi","posession",0.564296810776,4,NA
"ab","hi","quantity",0.407410100308,13,NA
"ab","hi","sense_perception",-0.248260351149,2,NA
"ab","hi","social_and_political_relations",-0.00704089586566,5,NA
"ab","hi","spatial_relations",0.192413092589,9,NA
"ab","hi","speech_and_language",-0.156737313549,5,NA
"ab","hi","the_house",1,1,NA
"ab","hi","time",0.0181431145513,12,NA
"ab","hi","warfare_and_hunting",-0.484411196127,4,NA
"ab","hr","animals",-0.94627253757,1,NA
"ab","hr","basic_actions_and_technology",-0.289672265066,3,NA
"ab","hr","body_parts",0.797127331763,5,NA
"ab","hr","clothing_and_grooming",-0.789612766112,1,NA
"ab","hr","cognition",0.442501190353,6,NA
"ab","hr","emotion_and_values",-0.422323819248,4,NA
"ab","hr","food_and_drink",0.039197063757,1,NA
"ab","hr","kinship",0.0473596484893,3,NA
"ab","hr","motion",0.19950835907,4,NA
"ab","hr","physical_world",0.176167210036,3,NA
"ab","hr","posession",0.175248562363,5,NA
"ab","hr","quantity",0.404673811866,14,NA
"ab","hr","sense_perception",1,1,NA
"ab","hr","social_and_political_relations",0.387362093714,5,NA
"ab","hr","spatial_relations",0.19028211993,9,NA
"ab","hr","speech_and_language",0.177010442496,2,NA
"ab","hr","time",-0.081579152893,11,NA
"ab","hr","warfare_and_hunting",-0.323663036242,4,NA
"ab","hu","agriculture_and_vegetation",NA,0,0.454545454545454
"ab","hu","animals",0.937707980398,1,NA
"ab","hu","basic_actions_and_technology",0.705160695215,2,0.535
"ab","hu","body_parts",0.577263812638,4,NA
"ab","hu","clothing_and_grooming",-0.166109660881,2,NA
"ab","hu","cognition",0.299302589524,8,NA
"ab","hu","emotion_and_values",-0.137147216234,3,NA
"ab","hu","food_and_drink",NA,0,NA
"ab","hu","kinship",-0.30843583182,4,0.546428571428571
"ab","hu","motion",0.258758622156,5,NA
"ab","hu","physical_world",-0.686451795102,4,NA
"ab","hu","posession",0.014490518359,5,NA
"ab","hu","quantity",0.425825838362,14,NA
"ab","hu","sense_perception",1,1,NA
"ab","hu","social_and_political_relations",0.491743029948,6,0.633846153846154
"ab","hu","spatial_relations",-0.0858123621727,8,NA
"ab","hu","speech_and_language",-0.156861795257,3,NA
"ab","hu","time",0.273465518412,14,NA
"ab","hu","warfare_and_hunting",0.574914898233,3,NA
"ab","hy","animals",-0.642631602215,1,NA
"ab","hy","basic_actions_and_technology",0.027240530638,4,0.56
"ab","hy","body_parts",0.658327972585,7,NA
"ab","hy","clothing_and_grooming",0.712790193303,1,NA
"ab","hy","cognition",0.166499497507,8,NA
"ab","hy","emotion_and_values",0.2829230874,3,NA
"ab","hy","kinship",0.536907431857,3,0.627142857142857
"ab","hy","motion",-0.109506593403,4,NA
"ab","hy","physical_world",0.604063942478,7,NA
"ab","hy","posession",-0.342778260795,3,NA
"ab","hy","quantity",0.623760963228,13,NA
"ab","hy","sense_perception",1,1,NA
"ab","hy","social_and_political_relations",-0.067277584741,3,0.671538461538462
"ab","hy","spatial_relations",0.0381801225387,9,NA
"ab","hy","speech_and_language",-0.0693425788363,4,NA
"ab","hy","time",0.154783557349,10,NA
"ab","hy","warfare_and_hunting",0.725886518377,4,NA
"ab","is","animals",0.513438560702,1,NA
"ab","is","basic_actions_and_technology",0.488666438497,4,0.393333333333333
"ab","is","body_parts",0.205631662488,5,NA
"ab","is","clothing_and_grooming",-1,1,NA
"ab","is","cognition",0.00108951330514,5,NA
"ab","is","emotion_and_values",-0.087731093572,2,NA
"ab","is","kinship",-0.881973463985,2,0.650714285714286
"ab","is","motion",0.473737790507,4,NA
"ab","is","physical_world",-0.48752864823,3,NA
"ab","is","posession",0.659502255064,5,NA
"ab","is","quantity",0.520366256615,12,NA
"ab","is","sense_perception",NA,0,NA
"ab","is","social_and_political_relations",-0.518184587388,3,0.733461538461539
"ab","is","spatial_relations",0.326156643824,5,NA
"ab","is","speech_and_language",0.616746725421,6,NA
"ab","is","the_house",NA,0,0.716363636363636
"ab","is","time",-0.200538767036,12,NA
"ab","is","warfare_and_hunting",0.333333333333,3,NA
"ab","it","animals",NA,0,NA
"ab","it","basic_actions_and_technology",0.29780977933,3,NA
"ab","it","body_parts",1,2,NA
"ab","it","clothing_and_grooming",NA,0,NA
"ab","it","cognition",0.306295546113,5,NA
"ab","it","emotion_and_values",0.146071029275,1,NA
"ab","it","food_and_drink",1,1,NA
"ab","it","kinship",0.816622352855,3,NA
"ab","it","motion",0.447375549627,4,NA
"ab","it","physical_world",0.343595982883,6,NA
"ab","it","posession",0.65426771887,4,NA
"ab","it","quantity",0.532344305406,13,NA
"ab","it","social_and_political_relations",0.0724555825163,5,NA
"ab","it","spatial_relations",0.283458890354,7,NA
"ab","it","speech_and_language",0.035952272076,3,NA
"ab","it","the_house",-1,1,NA
"ab","it","time",-0.167131250446,11,NA
"ab","it","warfare_and_hunting",-0.095766903812,3,NA
"ab","ja","agriculture_and_vegetation",0.354332647809,1,0.454545454545454
"ab","ja","animals",1,1,NA
"ab","ja","basic_actions_and_technology",-0.241177818053,5,0.647499999999999
"ab","ja","body_parts",-0.0300267895035,8,NA
"ab","ja","clothing_and_grooming",-0.22146510089,1,NA
"ab","ja","cognition",0.00277283709154,7,NA
"ab","ja","emotion_and_values",-0.0303513582833,3,NA
"ab","ja","kinship",-0.204572525569,3,0.585
"ab","ja","motion",0.179274121979,3,NA
"ab","ja","physical_world",-0.386851750743,8,NA
"ab","ja","posession",0.722236619551,4,NA
"ab","ja","quantity",0.472274394952,11,NA
"ab","ja","sense_perception",0.999746783678,1,NA
"ab","ja","social_and_political_relations",0.29451038032,6,0.616538461538461
"ab","ja","spatial_relations",-0.0633644018244,8,NA
"ab","ja","speech_and_language",-0.0745027158197,6,NA
"ab","ja","the_house",0.162147968795,1,0.590909090909091
"ab","ja","time",0.174445241747,10,NA
"ab","ja","warfare_and_hunting",-0.191291853608,3,NA
"ab","ka","animals",0.46410692807,1,NA
"ab","ka","basic_actions_and_technology",0.953039494849,3,NA
"ab","ka","body_parts",0.960347999447,4,NA
"ab","ka","clothing_and_grooming",1,1,NA
"ab","ka","cognition",0.153131554808,7,NA
"ab","ka","emotion_and_values",-0.761179573304,4,NA
"ab","ka","kinship",-0.488761447085,2,NA
"ab","ka","motion",-0.647467735065,2,NA
"ab","ka","physical_world",0.141224010836,6,NA
"ab","ka","posession",0.230930167859,3,NA
"ab","ka","quantity",0.584776463313,9,NA
"ab","ka","sense_perception",-0.996848900821,1,NA
"ab","ka","social_and_political_relations",0.47009007423,4,NA
"ab","ka","spatial_relations",0.926983156683,3,NA
"ab","ka","speech_and_language",-0.260036353544,3,NA
"ab","ka","the_house",NA,0,NA
"ab","ka","time",0.0428055278894,10,NA
"ab","ka","warfare_and_hunting",0.293271312005,4,NA
"ab","kk","animals",1,1,NA
"ab","kk","basic_actions_and_technology",0.500551395861,3,0.333333333333333
"ab","kk","body_parts",0.229023761576,7,NA
"ab","kk","clothing_and_grooming",NA,0,NA
"ab","kk","cognition",0.403968905034,7,NA
"ab","kk","emotion_and_values",0,2,NA
"ab","kk","food_and_drink",NA,0,NA
"ab","kk","kinship",0.341958262033,4,0.401428571428571
"ab","kk","motion",0,2,NA
"ab","kk","physical_world",-0.608296192823,5,NA
"ab","kk","posession",-0.0695919629615,2,NA
"ab","kk","quantity",0.467495798206,11,NA
"ab","kk","sense_perception",NA,0,NA
"ab","kk","social_and_political_relations",0.356340808054,3,0.601923076923077
"ab","kk","spatial_relations",0.034220285795,8,NA
"ab","kk","speech_and_language",0.823134408915,4,NA
"ab","kk","time",0.259799693502,9,NA
"ab","kk","warfare_and_hunting",0.433590285018,2,NA
"ab","kl","basic_actions_and_technology",-1,1,0.63375
"ab","kl","body_parts",0.529477850921,2,NA
"ab","kl","cognition",1,1,NA
"ab","kl","kinship",NA,0,0.704285714285715
"ab","kl","motion",1,1,NA
