"","mantelr","pval1","pval2","pval3","lower","upper","domain","comparison","p.adjusted"
"lingVHist13",0.406991997926471,6e-04,0.99941,6e-04,0.225760288388783,0.521141543264471,"Social and political relations","lingVHist",0.0126
"lingVGeo13",-0.144135668876519,0.9078,0.09221,0.19305,-0.196836838892114,-0.0687339323154217,"Social and political relations","lingVGeo",1
"lingVCult14",0.100161173015576,0.22592,0.77409,0.456,-0.00258721136607943,0.187323011445972,"Basic actions and technology","lingVCult",1
"lingVHist14",0.3784925081805,0.00095,0.99906,0.00098,0.173272282362051,0.50397983637508,"Basic actions and technology","lingVHist",0.02058
"lingVGeo14",-0.0925923003386515,0.77308,0.22693,0.44746,-0.162346970332771,0.0118588412881923,"Basic actions and technology","lingVGeo",1
"lingVCult15",0.121789767866419,0.20011,0.7999,0.40226,0.0228800971181592,0.209206032459692,"The body","lingVCult",1
"lingVHist15",0.351283509894004,0.00302,0.99699,0.00332,0.159339339361666,0.502604960006538,"The body","lingVHist",0.06972
"lingVGeo15",-0.0791543002380343,0.72203,0.27798,0.54511,-0.161919777969148,0.0190462312622615,"The body","lingVGeo",1
"lingVCult16",0.0673667404718857,0.30765,0.69236,0.62225,-0.0128860074230258,0.147108977014129,"The physical world","lingVCult",1
"lingVHist16",0.431955371347908,0.00045,0.99956,0.00045,0.236775298058412,0.557462003316612,"The physical world","lingVHist",0.00945
"lingVGeo16",-0.131042307652417,0.86087,0.13914,0.27818,-0.18819453292287,-0.0183672712217458,"The physical world","lingVGeo",1
"lingVCult17",0.0937182336022483,0.24409,0.75592,0.49551,0.0305026998324558,0.162785089766654,"Food and drink","lingVCult",1
"lingVHist17",0.380212136336167,0.00104,0.99897,0.00106,0.185976225560505,0.533524640449924,"Food and drink","lingVHist",0.02226
"lingVGeo17",-0.0755730323479536,0.72221,0.2778,0.54261,-0.137350937931355,-0.0102917955586775,"Food and drink","lingVGeo",1
"lingVCult18",0.150729138963144,0.15307,0.84694,0.29388,-0.0420273917714009,0.235247618784413,"Kinship","lingVCult",1
"lingVHist18",0.429272549524204,0.00033,0.99968,0.00033,0.267307438675968,0.543322579253819,"Kinship","lingVHist",0.00693
"lingVGeo18",-0.180429743118219,0.93191,0.0681,0.15433,-0.261778395977395,-0.0851584866380466,"Kinship","lingVGeo",1
"lingVCult19",0.197698033202987,0.08337,0.91664,0.167,0.10651763851107,0.285835739053965,"Animals","lingVCult",1
"lingVHist19",0.396740032472523,0.00117,0.99884,0.0012,0.169486088601253,0.51208650849441,"Animals","lingVHist",0.0252
"lingVGeo19",-0.119222938923574,0.81676,0.18325,0.36329,-0.186607257379058,-0.030227476527454,"Animals","lingVGeo",1
"lingVCult20",0.182406205839966,0.12074,0.87927,0.20035,-0.100911209392001,0.300287550728752,"Quantity","lingVCult",1
"lingVHist20",0.306352939060201,0.01024,0.98977,0.01226,0.176455545068704,0.419904073254797,"Quantity","lingVHist",0.25746
"lingVGeo20",-0.163557797877825,0.90975,0.09026,0.1993,-0.257984594153056,-0.0622271076816116,"Quantity","lingVGeo",1
