"","lingDomain","cultDomainDP","convergenceWarnings","numCultVars","raw.r","lmeModel.CultSimilarity.Beta","lmeModel.CultSimilarity.logLikelihoodDifference","lmeModel.CultSimilarity.ChiSquared","lmeModel.CultSimilarity.p","lmeModel.CultSimilarity.p.adjusted"
"24","Agriculture and vegetation","Property","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",4,-0.182832042003269,-0.00370192282657684,0.00012,0.000231264862350145,0.987866721996894,1
"25","Agriculture and vegetation","Housing","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",10,-0.0203836651043603,0.0124675507769866,0.067,0.133684627343087,0.714641869449432,1
"26","Miscellaneous function words","Subsistence","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",11,-0.237898631724294,0.261355026718261,5.2,10.3802172980949,0.0012737270287638,0.213986140832318
"27","Miscellaneous function words","Marriage and Kinship","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",24,-0.164256209177888,0.0673203269106796,0.37,0.735757002740002,0.391023460777615,1
"28","Miscellaneous function words","Settlement","Model failed to converge with max|grad| = 0.00361156 (tol = 0.002, component 1);",2,-0.36307984414288,0.246106566136728,4.6,9.20147574612213,0.0024182009979846,0.406257767661413
"29","Miscellaneous function words","Politics","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",12,-0.229248001951519,0.232281148884943,2.7,5.46893154926897,0.0193574563219274,1
"30","Miscellaneous function words","Ritual","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",7,-0.222297405269972,0.0676846339747235,0.35,0.704068346041595,0.401420038379665,1
"31","Miscellaneous function words","Labour","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",22,0.0092767265696118,-0.0304146787608324,0.12,0.249118196321092,0.617696667997217,1
"32","Miscellaneous function words","Property","",4,-0.207168790590771,0.0560574603726434,0.26,0.523965232397813,0.469155110581873,1
"33","Miscellaneous function words","Housing","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",10,-0.109843499790052,0.129285812595289,1.2,2.33171523132023,0.126762132452313,1
"34","Motion","Subsistence","boundary (singular) fit: see ?isSingular;Model failed to converge with max|grad| = 0.00546239 (tol = 0.002, component 1)",11,-0.253759378447699,0.115651211741779,3,6.03117742153586,0.0140553546729104,1
"35","Motion","Marriage and Kinship","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",24,-0.215590323131722,0.0168746295625856,0.092,0.183301418398628,0.668551271732422,1
"36","Motion","Settlement","",2,-0.255405022926636,0.121288417986522,1.8,3.65029514099854,0.056059276519091,1
"37","Motion","Politics","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",12,-0.239735604930097,0.0831308105161489,2.1,4.15336528003445,0.0415518643618915,1
"38","Motion","Ritual","",7,-0.248313530196664,0.044871702212814,0.27,0.54525812458246,0.460261721222679,1
"39","Motion","Labour","Model failed to converge with max|grad| = 0.00559447 (tol = 0.002, component 1);",22,0.0585261491288941,-0.091166757829285,2,3.91699730843618,0.0478001843238919,1
"40","Motion","Property","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",4,-0.0993100239312351,-0.0188008475096957,0.13,0.250115984798299,0.616993420837913,1
"41","Motion","Housing","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",10,-0.0884126658021889,0.01991635323716,0.12,0.245707912595776,0.620113615776833,1
"42","Speech and language","Subsistence","Model failed to converge with max|grad| = 0.00453094 (tol = 0.002, component 1);",11,-0.183204855846445,0.146125703764054,4.6,9.14030797052021,0.00250039011675961,0.420065539615614
"43","Speech and language","Marriage and Kinship","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",24,-0.187192136660807,0.0549452430785663,0.95,1.90146394942769,0.167914548026404,1
"44","Speech and language","Settlement",";Model failed to converge with max|grad| = 0.00250638 (tol = 0.002, component 1)",2,-0.405142078051272,0.148928699125392,2.8,5.63799617225493,0.0175752830799114,1
"45","Speech and language","Politics","",12,-0.319794740559578,0.143184564319435,1.9,3.83955734789674,0.0500567348792112,1
"46","Speech and language","Ritual","",7,-0.200007451312791,0.044042989575359,0.27,0.530751279565948,0.466291177141037,1
"47","Speech and language","Labour","",22,-0.000604643144693429,-0.0381655874817123,0.43,0.862515295833305,0.353035759958143,1
"48","Speech and language","Property","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",4,-0.209682046209075,0.0360759851352449,0.52,1.0356115177334,0.308844317826,1
"49","Speech and language","Housing","Model failed to converge with max|grad| = 0.00229132 (tol = 0.002, component 1);boundary (singular) fit: see ?isSingular",10,-0.0222634530733186,0.0476410928564376,0.71,1.41503497906785,0.234222353023257,1
"50","Modern world","Subsistence","",11,-0.225961576369327,0.14532551998949,3.7,7.46397925209641,0.00629457122395043,1
"51","Modern world","Marriage and Kinship","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",24,-0.205337132144385,0.100762069229391,2.1,4.16314361570033,0.0413126613123824,1
"52","Modern world","Settlement",";Model failed to converge with max|grad| = 0.00368315 (tol = 0.002, component 1)",2,-0.287548912508206,0.07152388223543,0.56,1.12835016072694,0.288127526331246,1
"53","Modern world","Politics","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",12,-0.363782875112071,0.197605163813172,6.3,12.5450176967008,0.000397264104567897,0.0667403695674067
"54","Modern world","Ritual","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",7,-0.163214077303238,0.0688316300827863,1.6,3.10601669136469,0.078003514255699,1
"55","Modern world","Labour","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",22,0.00723963778771184,-0.0246281907511212,0.14,0.289701254472561,0.590412037034797,1
"56","Modern world","Property","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",4,-0.00560907642381798,-0.119858564387634,0.91,1.81113467729921,0.178372174601134,1
"57","Modern world","Housing","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",10,-0.143463437127355,0.110797038053226,2.8,5.5689444772355,0.0182817780608651,1
"58","Cognition","Subsistence","boundary (singular) fit: see ?isSingular;",11,-0.224237111166543,0.127914694825184,3.3,6.68724606403271,0.00971050974338662,1
"59","Cognition","Marriage and Kinship","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",24,-0.189226562374558,0.024085565571654,0.17,0.348931079865565,0.554718844372072,1
"60","Cognition","Settlement","boundary (singular) fit: see ?isSingular;unable to evaluate scaled gradient;boundary (singular) fit: see ?isSingular;Model failed to converge: degenerate  Hessian with 1 negative eigenvalues",2,-0.294396071036575,0.131769034533643,2.3,4.64926879849918,0.0310667781461109,1
"61","Cognition","Politics","boundary (singular) fit: see ?isSingular;",12,-0.276340611299648,0.144698252326091,3.6,7.20967625284845,0.00725115728475544,1
"62","Cognition","Ritual","",7,-0.210734540509677,0.0552349305423235,0.37,0.741634272318606,0.389137864861194,1
"63","Cognition","Labour","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",22,-0.0251149349837407,0.00599583469552195,0.0021,0.0041576332492923,0.948588261032454,1
"64","Cognition","Property","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",4,-0.0630159459053129,-0.0608781682998834,0.56,1.1163161789998,0.290713060883849,1
"65","Cognition","Housing","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",10,-0.0703783257495944,0.0447761019159418,0.42,0.845571926761409,0.357808043958705,1
"66","Clothing and grooming","Subsistence","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",11,-0.148153167493076,0.122650138406467,2.6,5.19184563418071,0.0226931039476938,1
"67","Clothing and grooming","Marriage and Kinship","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",24,-0.143791298235023,0.0830744199852259,1.2,2.41646277029349,0.120065770087198,1
"68","Clothing and grooming","Settlement","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",2,-0.155554718127679,-0.0665989833256728,0.16,0.329032019933607,0.566229626466814,1
"69","Clothing and grooming","Politics","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",12,-0.330222905539623,0.242590797472871,6.4,12.774151907064,0.000351441917773381,0.059042242185928
"70","Clothing and grooming","Ritual","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",7,-0.11919707466618,0.0896254635203919,1.7,3.34036911304725,0.0675994430118077,1
"71","Clothing and grooming","Labour","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",22,-0.0348578231617155,0.010831821910753,0.017,0.0346598749055147,0.852310172903657,1
"72","Clothing and grooming","Property","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",4,0.186592154276337,-0.322456018615203,3.1,6.24202208139263,0.0124753960136116,1
"73","Clothing and grooming","Housing","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",10,-0.141865796637176,0.12875457176288,2.6,5.25571776048162,0.0218747772914588,1
"74","Sense perception","Subsistence","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",11,-0.234618473160372,0.175319074752809,4,8.09932493892654,0.0044281747806914,0.743933363156155
"75","Sense perception","Marriage and Kinship","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",24,-0.150622344071549,-0.00533987890235708,0.0073,0.0145052398647749,0.904136427525886,1
"76","Sense perception","Settlement","boundary (singular) fit: see ?isSingular;",2,-0.378161550344858,0.0787596972513187,1.4,2.77355047412891,0.0958333796291477,1
"77","Sense perception","Politics",";Model failed to converge with max|grad| = 0.00348376 (tol = 0.002, component 1)",12,-0.331830432854557,0.214313686424494,3.4,6.70153953760143,0.00963296995906063,1
"78","Sense perception","Ritual","Model failed to converge with max|grad| = 0.00402068 (tol = 0.002, component 1);",7,-0.159096730938473,0.0640436629197258,0.69,1.37255662210157,0.241373105931645,1
"79","Sense perception","Labour","boundary (singular) fit: see ?isSingular;",22,0.0232935720278726,-0.0754786251253456,1.7,3.41823444581644,0.0644799391257802,1
"80","Sense perception","Property","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",4,-0.158617325213297,-0.05810506517943,0.54,1.07063232420012,0.300802662429997,1
"81","Sense perception","Housing","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",10,-0.0306820689388603,0.0699447859439363,1.1,2.27781315260086,0.13123680355238,1
"82","Time","Subsistence","boundary (singular) fit: see ?isSingular;",11,-0.185293920667659,0.195685724565504,2.8,5.65130685907991,0.0174423685003113,1
"83","Time","Marriage and Kinship","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",24,-0.0992045444979992,0.0575098855117071,0.17,0.3463830347672,0.556167782390279,1
"84","Time","Settlement","",2,-0.178809923578982,-0.102619942609573,0.14,0.278647684363818,0.597588945133039,1
"85","Time","Politics","boundary (singular) fit: see ?isSingular;",12,-0.149286721773063,0.187368908542366,1.9,3.87035957883677,0.0491459911740328,1
"86","Time","Ritual","Model failed to converge with max|grad| = 0.0123253 (tol = 0.002, component 1);",7,-0.151257172710106,0.146789490830227,0.72,1.44879072215508,0.228722090507885,1
"87","Time","Labour","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",22,-0.011034121821722,0.0570996950312357,0.076,0.152359007473478,0.696291123073666,1
"88","Time","Property","",4,-0.0437219622862876,-0.484744711731565,2.7,5.47479362355364,0.0192926385413245,1
"89","Time","Housing","",10,-0.0913044409563095,0.132787020155041,0.97,1.94869938394629,0.16272707345485,1
"90","Spatial relations","Subsistence","boundary (singular) fit: see ?isSingular;",11,-0.255698481191248,0.153013830782133,4.9,9.83938527496127,0.00170814571557979,0.286968480217405
"91","Spatial relations","Marriage and Kinship","Model failed to converge with max|grad| = 0.00483454 (tol = 0.002, component 1);",24,-0.167095926432069,0.00697939304455036,0.35,0.703979283655258,0.401449819010261,1
"92","Spatial relations","Settlement","",2,-0.323976195541613,0.106051327740954,1.8,3.56002598306804,0.059186812423157,1
"93","Spatial relations","Politics","",12,-0.323459680224416,0.175064225413839,2.4,4.71985091390945,0.0298163281423029,1
"94","Spatial relations","Ritual","",7,-0.185821703220092,0.0537338368436851,0.44,0.880940540758274,0.347944202272969,1
"95","Spatial relations","Labour","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",22,-0.0254536297652855,-0.0246306958830969,0.24,0.480261625579033,0.488303834888014,1
"96","Spatial relations","Property","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",4,-0.0734114631011307,-0.121062066266784,1.3,2.64873268286192,0.103632485097059,1
"97","Spatial relations","Housing","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",10,-0.0979006143914494,0.0721530033349581,1.1,2.13909310206486,0.143586752944438,1
"98","Emotions and values","Subsistence","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",11,-0.255246889405328,0.132790324839513,4.3,8.52163940710597,0.00350948200624552,0.589592977049247
"99","Emotions and values","Marriage and Kinship","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",24,-0.108808816684856,0.0139265116754405,0.16,0.316061107958376,0.573984446146176,1
"100","Emotions and values","Settlement","",2,-0.303646211176332,0.067822468814342,1,2.05437269093829,0.151769750255454,1
"101","Emotions and values","Politics","boundary (singular) fit: see ?isSingular;",12,-0.204858459902279,0.0874770194561179,2.1,4.25422899875969,0.0391527168634066,1
"102","Emotions and values","Ritual","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",7,-0.129824276709053,0.0327819123224904,0.17,0.347793433579568,0.555364879380382,1
"103","Emotions and values","Labour","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",22,0.0295722078119077,-0.0697827400199763,1.8,3.62308351145327,0.0569831668316062,1
"104","Emotions and values","Property","boundary (singular) fit: see ?isSingular;",4,-0.153654019402114,-0.0590428724354953,0.62,1.23189738886299,0.267038358223649,1
"105","Emotions and values","Housing","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",10,0.0243393697672249,-0.00208049548680895,0.001,0.00207949504601856,0.963627888938971,1
"106","Social and political relations","Subsistence","Model failed to converge with max|grad| = 0.00251684 (tol = 0.002, component 1);Model failed to converge with max|grad| = 0.00777931 (tol = 0.002, component 1)",11,-0.308767344122066,0.176777541851411,5.2,10.4652177612712,0.00121643207427053,0.204360588477449
"107","Social and political relations","Marriage and Kinship","Model failed to converge with max|grad| = 0.00540961 (tol = 0.002, component 1);",24,-0.188185979550751,0.0176367277887235,0.041,0.0813484581022408,0.775478271604902,1
"108","Social and political relations","Settlement",";Model failed to converge with max|grad| = 0.00982273 (tol = 0.002, component 1)",2,-0.360899302708567,0.113830858890893,2.2,4.35782183798807,0.0368393797807688,1
"109","Social and political relations","Politics","",12,-0.340078698207248,0.16262699226874,2.9,5.70390508365426,0.016927210861882,1
"110","Social and political relations","Ritual","Model failed to converge with max|grad| = 0.00381812 (tol = 0.002, component 1);",7,-0.208117466621182,0.0312768071535151,0.24,0.479825544033531,0.488501348628895,1
"111","Social and political relations","Labour","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",22,-0.0140872413402079,-0.0131876510903359,0.083,0.166577487583822,0.683171589244261,1
"112","Social and political relations","Property","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",4,-0.0702039795810995,-0.0971432476413659,1.3,2.59366979211859,0.107291485400941,1
"113","Social and political relations","Housing","",10,-0.0825288365284551,0.0534131981428037,0.47,0.947988412879567,0.330231858569436,1
"114","Basic actions and technology","Subsistence","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",11,-0.246604449408411,0.113804780851342,3.1,6.10216483958874,0.0135016381382531,1
"115","Basic actions and technology","Marriage and Kinship","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",24,-0.171795777985536,0.00943474246227391,0.046,0.0924191097504945,0.761123994517954,1
"116","Basic actions and technology","Settlement","",2,-0.319246166412132,0.0645556978737252,0.71,1.41920180869681,0.233534826116352,1
"117","Basic actions and technology","Politics","boundary (singular) fit: see ?isSingular;",12,-0.33055730085056,0.142852277796315,6,12.0717558255292,0.000511914655251585,0.0860016620822663
"118","Basic actions and technology","Ritual","Model failed to converge with max|grad| = 0.00212268 (tol = 0.002, component 1);Model failed to converge with max|grad| = 0.0372617 (tol = 0.002, component 1)",7,-0.18200702771598,0.0397359295799071,0.53,1.05922530086428,0.303391942360032,1
"119","Basic actions and technology","Labour","boundary (singular) fit: see ?isSingular;Model failed to converge with max|grad| = 0.00232033 (tol = 0.002, component 1)",22,0.0258341203962172,-0.0470547470617184,0.76,1.52903514237693,0.216257310436751,1
"120","Basic actions and technology","Property","boundary (singular) fit: see ?isSingular;",4,-0.0241449997550758,-0.124715252635047,3.3,6.57740327031308,0.0103281456099178,1
"121","Basic actions and technology","Housing","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",10,-0.0491002994963388,0.0104394143815499,0.047,0.0939785347628685,0.759178923202605,1
"122","The body","Subsistence","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",11,-0.247682304448242,0.152888877079295,3.1,6.26119348794703,0.0123411037106428,1
"123","The body","Marriage and Kinship","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",24,-0.111959087461457,0.00424015420863938,0.0055,0.0110545904429955,0.916264075102742,1
"124","The body","Settlement","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",2,-0.262897361710259,0.0756846589009894,0.58,1.16135210663992,0.281185301843503,1
"125","The body","Politics","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",12,-0.334538703815554,0.193827848913556,6.8,13.5844819868754,0.000228063044630491,0.0383145914979225
"126","The body","Ritual","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",7,-0.143526295358235,0.0565046966409492,0.69,1.38284231645105,0.239617590197845,1
"127","The body","Labour","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",22,0.0232660767653095,-0.0427534345364672,0.53,1.05260436554113,0.304908039682478,1
"128","The body","Property","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",4,-0.00508905145090775,-0.121697461439387,1.5,3.09158983850841,0.0786978826262795,1
"129","The body","Housing","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",10,-0.105549897147502,0.0605377716110066,0.87,1.7477751066499,0.186156677087571,1
"130","The physical world","Subsistence","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",11,-0.229942024769191,0.0887233222130297,1.4,2.88750793094312,0.0892689099094689,1
"131","The physical world","Marriage and Kinship","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",24,-0.145791990566664,-0.0497049261942726,0.22,0.435671867562519,0.509218892472755,1
"132","The physical world","Settlement","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",2,-0.284943949033845,0.0989467084900607,1.9,3.72594127993193,0.0535734240131501,1
"133","The physical world","Politics","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",12,-0.274024883719874,0.153227039702515,4.5,9.07394778425976,0.00259276720528278,0.435584890487507
"134","The physical world","Ritual","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",7,-0.170988838955472,0.0104206944946507,0.019,0.0381154052994361,0.845211586329918,1
"135","The physical world","Labour","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",22,-0.0789128155868096,0.0159490235468534,0.077,0.153287618452396,0.695413183814492,1
"136","The physical world","Property","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",4,-0.0871534463736768,-0.0964704980844646,1.1,2.1455330609042,0.142985364888945,1
"137","The physical world","Housing","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",10,-0.000919113013934002,-0.00938458994989405,0.017,0.0347432572602884,0.852134673997101,1
"138","Food and drink","Subsistence","boundary (singular) fit: see ?isSingular;Model failed to converge with max|grad| = 0.00352218 (tol = 0.002, component 1)",11,-0.317212528537887,0.126651653897311,4.9,9.76452127939638,0.00177911835608956,0.298891883823046
"139","Food and drink","Marriage and Kinship","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",24,-0.216486120418924,0.00897584975247206,0.065,0.129499581490109,0.718951455132907,1
"140","Food and drink","Settlement","Model failed to converge with max|grad| = 0.00203285 (tol = 0.002, component 1);",2,-0.316056856230789,0.0756980659256551,0.72,1.43986847132226,0.230160625825241,1
"141","Food and drink","Politics","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",12,-0.358261369056938,0.160360058495799,4.9,9.72217181603469,0.00182058253954175,0.305857866643014
"142","Food and drink","Ritual","",7,-0.300996228849707,0.0969794428252893,1.2,2.32619753390372,0.127212286488367,1
"143","Food and drink","Labour","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",22,-0.0168494424302134,-0.0262103251961927,0.3,0.601967707932317,0.437828239720989,1
"144","Food and drink","Property","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",4,-0.0664400707585725,-0.0892827725091749,1.3,2.67849709488621,0.101711678032101,1
"145","Food and drink","Housing","boundary (singular) fit: see ?isSingular;Model failed to converge with max|grad| = 0.00924432 (tol = 0.002, component 1)",10,-0.183276443013866,0.0912984918778715,3.4,6.78667185174299,0.00918409740813775,1
"146","Kinship","Subsistence","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",11,-0.135765290844691,0.0877728066395611,0.71,1.42880637525991,0.23195933746547,1
"147","Kinship","Marriage and Kinship","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",24,-0.122779403567306,-0.072194914368936,0.23,0.459523788750744,0.497846615241162,1
"148","Kinship","Settlement","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",2,-0.297323963783067,0.0477879284569625,0.27,0.537329906851824,0.463541410999107,1
"149","Kinship","Politics",";Model failed to converge with max|grad| = 0.00344044 (tol = 0.002, component 1)",12,-0.241752250058852,0.166172314772519,1.2,2.47275111115812,0.115835017810521,1
"150","Kinship","Ritual","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",7,-0.121315855765473,-0.0201862386717028,0.034,0.0689104521654826,0.792929815374126,1
"151","Kinship","Labour","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",22,-0.0520823059143286,0.0340990693114869,0.12,0.245824748315044,0.62003046677638,1
"152","Kinship","Property","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",4,-0.129459989000135,-0.165513433561003,1.3,2.63948876049005,0.104237082160991,1
"153","Kinship","Housing","",10,-0.00868373107534384,0.026408386822992,0.033,0.065839289537962,0.797493999483096,1
"154","Animals","Subsistence","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",11,-0.190101912166555,0.150742864261927,2.2,4.48532741541862,0.0341869973795357,1
"155","Animals","Marriage and Kinship","boundary (singular) fit: see ?isSingular;boundary (singular) fit: see ?isSingular",24,-0.0820172501816777,-0.023736594342936,0.0072,0.0143538049163681,0.904635746856769,1
"156","Animals","Settlement","boundary (singular) fit: see ?isSingular;Model failed to converge with max|grad| = 0.00878205 (tol = 0.002, component 1)",2,-0.434562196095924,0.223550333490245,4.8,9.59709856531947,0.00194885065208817,0.327406909550813
