"meaning","language","word","lingpy.cognate","expert.cognate","word.count","corpora.size","corpora.type","corpus","states","taxa","word.type","glottocode","source.ids","mean.roc","sd.roc"
"B","English","brother","CE","i1",63,17400000,"spoken","CELEX",9,"English_ST","kinterm","stan1293","IE72",1.26705793349218,0.00462901893746714
"B","Bulgarian","брат","AI","i2",31437,704955109,"web","Bulgarian Web 2012 (bgTenTen12)",9,"Bulgarian","kinterm","bulg1262",NA,1.26705793349218,0.00462901893746714
"B","Sindhi","bhāu","FZ","indian",NA,NA,NA,NA,9,"Sindhi","kinterm","sind1272","IE9(109);DR7(98);IE292)",1.26705793349218,0.00462901893746714
"B","Bulgarian","брат","AI","i2",NA,1.95e+09,"spoken","Bulgarian NC",9,"Bulgarian","kinterm","bulg1262",NA,1.26705793349218,0.00462901893746714
"B","Polish","brat","AI","i2",162,3e+08,"spoken","Polish NC written PELCRA spoken",9,"Polish","kinterm","poli1260","IE71(262);IE59(143);IE146(754)",1.26705793349218,0.00462901893746714
"B","Lahnda","bhrā","HI","indian",NA,NA,NA,NA,9,"Lahnda","kinterm","lahn1241","IE337(133,6,9);IE292(9,18,69);IE293(472)",1.26705793349218,0.00462901893746714
"B","Dutch","broer","AA","i1",28501,42400000,"spoken","Dutch Instituut voor Nederlandse Lexicologie text corpora (written) (mysterious) Corpus Gesproken Nederlands (spoken)",9,"Dutch_List","kinterm","dutc1256","IE73",1.26705793349218,0.00462901893746714
"B","Polish","brat","AI","i2",975172,7796796565,"web","Polish Web 2012 (plTenTen12)",9,"Polish","kinterm","poli1260","IE71(262);IE59(143);IE146(754)",1.26705793349218,0.00462901893746714
"B","Slovak","brat","AI","i2",NA,NA,NA,NA,9,"Slovak","kinterm","slov1269","IE146(587);IE177(101);IE301(36,42)",1.26705793349218,0.00462901893746714
"B","Polish","brat","AI","i2",230195,7796796565,"web","Polish Web 2012 (plTenTen12)",9,"Polish","kinterm","poli1260","IE71(262);IE59(143);IE146(754)",1.26705793349218,0.00462901893746714
"B","German","Bruder","CU","i1",1207834,16534176369,"web","German Web 2013 (deTenTen13)",9,"German_ST","kinterm","stan1295","IE74;IE234(268)",1.26705793349218,0.00462901893746714
"B","German","Bruder","CU","i1",515,5400000,"written","CELEX",9,"German_ST","kinterm","stan1295","IE74;IE234(268)",1.26705793349218,0.00462901893746714
"B","Macedonian","брат","AI","i2",NA,NA,NA,NA,9,"Macedonian","kinterm","mace1250",NA,1.26705793349218,0.00462901893746714
"B","French","frère","CN","italian",311.45,1.5e+07,"spoken","lexique corpus",9,"French","kinterm","stan1290","IE80(156,167)",1.26705793349218,0.00462901893746714
"B","English","brother","CE","i1",1626,39502648,"web","pukWaC (ukWaC parsed with MaltParser)",9,"English_ST","kinterm","stan1293","IE72",1.26705793349218,0.00462901893746714
"B","Bulgarian","брат","AI","i2",91715,1.95e+09,"written","Bulgarian NC",9,"Bulgarian","kinterm","bulg1262",NA,1.26705793349218,0.00462901893746714
"B","Catalan","germà","AS","iberian",6653,4189954719,"web","Catalan Web 2014 (caTenTen14)",9,"Catalan","kinterm","stan1289","IE285(5);IE286(416)",1.26705793349218,0.00462901893746714
"B","German","Bruder","CU","i1",765636,16534176369,"web","German Web 2013 (deTenTen13)",9,"German_ST","kinterm","stan1295","IE74;IE234(268)",1.26705793349218,0.00462901893746714
"B","German","Bruder","CU","i1",13,5400000,"spoken","CELEX",9,"German_ST","kinterm","stan1295","IE74;IE234(268)",1.26705793349218,0.00462901893746714
"B","Latvian","bralis","DZ","baltic",NA,NA,NA,NA,9,"Latvian","kinterm","latv1249",NA,1.26705793349218,0.00462901893746714
"B","Urdu","bhā'i","FZ","indian",NA,NA,NA,NA,9,"Urdu","kinterm","urdu1245","IE188(347);IE292",1.26705793349218,0.00462901893746714
"B","Spanish","hermano","FC","iberian",366,1e+08,"spoken","CoE",9,"Spanish","kinterm","stan1288","IE80(156-167)",1.26705793349218,0.00462901893746714
"B","Catalan","germà","AS","iberian",7772,4189954719,"web","Catalan Web 2014 (caTenTen14)",9,"Catalan","kinterm","stan1289","IE285(5);IE286(416)",1.26705793349218,0.00462901893746714
"B","Czech","bratr","AI","i2",370815,4175089440,"web","Czech Web 2012 (czTenTen12 v8)",9,"Czech","kinterm","czec1258","IE146(527);IE143(78);IE288(105)",1.26705793349218,0.00462901893746714
"B","Portuguese","irmão","EO","iberian",203,4.5e+07,"spoken","CoP",9,"Portuguese_ST","kinterm","port1283","IE80(166)",1.26705793349218,0.00462901893746714
"B","English","brother","CE","i1",2319,39502648,"web","pukWaC (ukWaC parsed with MaltParser)",9,"English_ST","kinterm","stan1293","IE72",1.26705793349218,0.00462901893746714
"B","Italian","fratello","DT","italian",3,1.3e+08,"spoken","CORIS",9,"Italian","kinterm","ital1282","IE80(156,167)",1.26705793349218,0.00462901893746714
"B","English","brother","CE","i1",2415,17400000,"written","CELEX",9,"English_ST","kinterm","stan1293","IE72",1.26705793349218,0.00462901893746714
"B","Dutch","broer","AA","i1",159790,2576596803,"web","Dutch Web 2014 (nlTenTen14)",9,"Dutch_List","kinterm","dutc1256","IE73",1.26705793349218,0.00462901893746714
"B","Spanish","hermano","FC","iberian",1515056,9497402122,"web","Spanish Web 2011 (esTenTen11, Eu + Am, Freeling v4)",9,"Spanish","kinterm","stan1288","IE80(156-167)",1.26705793349218,0.00462901893746714
"B","Italian","fratello","DT","italian",135501,2588873046,"web","Italian Web 2010 (itTenTen)",9,"Italian","kinterm","ital1282","IE80(156,167)",1.26705793349218,0.00462901893746714
"B","Kashmiri","bōi","HA","indian",NA,NA,NA,NA,9,"Kashmiri","kinterm","kash1277","IE42(40);IE43(229);IE121(224,225);IE218(194)",1.26705793349218,0.00462901893746714
"B","Portuguese","irmão","EO","iberian",557718,3900501097,"web","Portuguese Web 2011 (ptTenTen11, Freeling v3)",9,"Portuguese_ST","kinterm","port1283","IE80(166)",1.26705793349218,0.00462901893746714
"B","Spanish","hermano","FC","iberian",517052,9497402122,"web","Spanish Web 2011 (esTenTen11, Eu + Am, Freeling v4)",9,"Spanish","kinterm","stan1288","IE80(156-167)",1.26705793349218,0.00462901893746714
"B","Portuguese","irmão","EO","iberian",204809,3900501097,"web","Portuguese Web 2011 (ptTenTen11, Freeling v3)",9,"Portuguese_ST","kinterm","port1283","IE80(166)",1.26705793349218,0.00462901893746714
"B","Welsh","brawd","FH","i1",NA,NA,NA,NA,9,"Welsh_C","kinterm","wels1247","IE174(42);IE173(111,117,119);IE180(59);IE288(107); IE339",1.26705793349218,0.00462901893746714
"B","Portuguese","irmão","EO","iberian",3889,4.5e+07,"written","CoP",9,"Portuguese_ST","kinterm","port1283","IE80(166)",1.26705793349218,0.00462901893746714
"B","Greek","αδελφός","CZ","greek",21436,1958348129,"web","Greek Web 2014 (elTenTen14)",9,"Greek_Mod","kinterm","mode1248",NA,1.26705793349218,0.00462901893746714
"B","Romanian","frate","DT","italian",NA,4.1e+07,"spoken","ROMBAC",9,"Romanian_List","kinterm","roma1327","IE12(161)",1.26705793349218,0.00462901893746714
"B","Swedish","bror","AA","i1",135115,3411216955,"web","Swedish Web 2014 (svTenTen14)",9,"Swedish_List","kinterm","swed1254","IE995;IE89(94)",1.26705793349218,0.00462901893746714
"B","Tajik","dōdar","IK","i1",NA,NA,NA,NA,9,"Tadzik","kinterm","taji1245","IE253(168);IE208(478)",1.26705793349218,0.00462901893746714
"B","Polish","brat","AI","i2",9189,3e+08,"written","Polish NC written PELCRA spoken",9,"Polish","kinterm","poli1260","IE71(262);IE59(143);IE146(754)",1.26705793349218,0.00462901893746714
"D","Czech","dcera","BI","slavic",150186,4175089440,"web","Czech Web 2012 (czTenTen12 v8)",10,"Czech","kinterm","czec1258","IE146(527);IE143(77,78);IE288(105)",2.73187049748366,0.00819676789974682
"D","Polish","córka","EL","i",95,3e+08,"spoken","Polish NC written PELCRA spoken",10,"Polish","kinterm","poli1260","IE71(261);IE59(143);IE146(754)",2.73187049748366,0.00819676789974682
"D","Swedish","dotter","BO","i",116,1e+06,"written","SUC",10,"Swedish_List","kinterm","swed1254","IE995;IE89(94)",2.73187049748366,0.00819676789974682
"D","German","Tochter","CV","i",41,5400000,"spoken","CELEX",10,"German_ST","kinterm","stan1295","IE74;IE234(268)",2.73187049748366,0.00819676789974682
"D","Dutch","dochter","BW","i",33252,42400000,"spoken","Dutch Instituut voor Nederlandse Lexicologie text corpora (written) (mysterious) Corpus Gesproken Nederlands (spoken)",10,"Dutch_List","kinterm","dutc1256","IE73",2.73187049748366,0.00819676789974682
"D","Swedish","dotter","BO","i",363522,3411216955,"web","Swedish Web 2014 (svTenTen14)",10,"Swedish_List","kinterm","swed1254","IE995;IE89(94)",2.73187049748366,0.00819676789974682
"D","French","fille","CO","latin",2114917,9889689889,"web","French Web 2012 (frTenTen12)",10,"French","kinterm","stan1290","IE80(156,167)",2.73187049748366,0.00819676789974682
"D","Italian","figlia","DU","latin",197941,2588873046,"web","Italian Web 2010 (itTenTen)",10,"Italian","kinterm","ital1282","IE80(156,167)",2.73187049748366,0.00819676789974682
"D","Belarusian","dačká","GO","i",NA,NA,NA,NA,10,"Byelorussian","kinterm","bela1254","IE146(941);IE296(55,302);IE332(33)",2.73187049748366,0.00819676789974682
"D","Swedish","dotter","BO","i",NA,1e+06,"spoken","SUC",10,"Swedish_List","kinterm","swed1254","IE995;IE89(94)",2.73187049748366,0.00819676789974682
"D","Marathi","kan̪jaː","GR","bengali",NA,NA,NA,NA,10,"Marathi","kinterm","mara1378",NA,2.73187049748366,0.00819676789974682
"D","Oriya","zia","GE","indian",NA,NA,NA,NA,10,"Oriya","kinterm","oriy1255","DR7(147);IE224(72);IE9(106)",2.73187049748366,0.00819676789974682
"D","Sindhi","dhīa","IG","misc",NA,NA,NA,NA,10,"Sindhi","kinterm","sind1272","DR7(100);IE292);IE9(106)",2.73187049748366,0.00819676789974682
"D","Czech","dcera","BI","slavic",67,1700000,"spoken","UCNK:SYN2015 (written) ORAL2013 (spoken)",10,"Czech","kinterm","czec1258","IE146(527);IE143(77,78);IE288(105)",2.73187049748366,0.00819676789974682
"D","Frisian","dochter","BW","i",NA,NA,NA,NA,10,"Frisian","kinterm","fris1239","IE305;IE307;IE348",2.73187049748366,0.00819676789974682
"D","Portuguese","filha","AT","latin",221,4.5e+07,"spoken","CoP",10,"Portuguese_ST","kinterm","port1283","IE80(165)",2.73187049748366,0.00819676789974682
"D","Serbian","ćerka",NA,"slavic",6418,5.54e+08,"web","scWaC",10,"Serbocroatian","kinterm","sout1528","IE20(47);IE65(25);IE12(146)",2.73187049748366,0.00819676789974682
"D","Macedonian","’ќерка","HO","i1",NA,NA,NA,NA,10,"Macedonian","kinterm","mace1250",NA,2.73187049748366,0.00819676789974682
"D","Hindi","beʈiː","GY","indian2",NA,NA,NA,NA,10,"Hindi","kinterm","hind1269",NA,2.73187049748366,0.00819676789974682
"D","Irish","inghean","DR","misc",NA,NA,NA,NA,10,"Irish_A","kinterm","iris1253","IE225(432);IE182(105);IE294(63)",2.73187049748366,0.00819676789974682
"D","Slovak","dcéra","BI","slavic",NA,NA,NA,NA,10,"Slovak","kinterm","slov1269","IE146(588);IE177(101)",2.73187049748366,0.00819676789974682
"D","Czech","dcera","BI","slavic",15980,1700000,"written","UCNK:SYN2015 (written) ORAL2013 (spoken)",10,"Czech","kinterm","czec1258","IE146(527);IE143(77,78);IE288(105)",2.73187049748366,0.00819676789974682
"D","English","daughter","CF","i",2830,39502648,"web","pukWaC (ukWaC parsed with MaltParser)",10,"English_ST","kinterm","stan1293","IE72",2.73187049748366,0.00819676789974682
"D","German","Tochter","CV","i",1181168,16534176369,"web","German Web 2013 (deTenTen13)",10,"German_ST","kinterm","stan1295","IE74;IE234(268)",2.73187049748366,0.00819676789974682
"D","French","fille","CO","latin",627.59,1.5e+07,"spoken","lexique corpus",10,"French","kinterm","stan1290","IE80(156,167)",2.73187049748366,0.00819676789974682
"D","Bulgarian","дъщеря","AJ","slavic",57694,1.95e+09,"written","Bulgarian NC",10,"Bulgarian","kinterm","bulg1262",NA,2.73187049748366,0.00819676789974682
"D","Swedish","dotter","BO","i",226697,3411216955,"web","Swedish Web 2014 (svTenTen14)",10,"Swedish_List","kinterm","swed1254","IE995;IE89(94)",2.73187049748366,0.00819676789974682
"D","Ukrainian","dočká","GO","i",NA,NA,NA,NA,10,"Ukrainian","kinterm","ukra1253","IE146(993);IE297(314);IE298(51);IE299)",2.73187049748366,0.00819676789974682
"D","German","Tochter","CV","i",1355971,16534176369,"web","German Web 2013 (deTenTen13)",10,"German_ST","kinterm","stan1295","IE74;IE234(268)",2.73187049748366,0.00819676789974682
"D","Croatian","kći","BC","slavic",87067,1.21e+09,"web","hrWaC",10,"Serbocroatian_Croatia","kinterm","sout1528",NA,2.73187049748366,0.00819676789974682
"D","Spanish","hija","FD","latin",555,1e+08,"spoken","CoE",10,"Spanish","kinterm","stan1288","IE80(156-167)",2.73187049748366,0.00819676789974682
"D","Bulgarian","дъщеря","AJ","slavic",NA,1.95e+09,"spoken","Bulgarian NC",10,"Bulgarian","kinterm","bulg1262",NA,2.73187049748366,0.00819676789974682
"D","Spanish","hija","FD","latin",11807,9497402122,"web","Spanish Web 2011 (esTenTen11, Eu + Am, Freeling v4)",10,"Spanish","kinterm","stan1288","IE80(156-167)",2.73187049748366,0.00819676789974682
"D","Russian","дочь","EZ","i",1237503,14553856113,"web","Russian Web 2011 (ruTenTen11)",10,"Russian","kinterm","russ1263",NA,2.73187049748366,0.00819676789974682
"D","Bulgarian","дъщеря","AJ","slavic",38835,704955109,"web","Bulgarian Web 2012 (bgTenTen12)",10,"Bulgarian","kinterm","bulg1262",NA,2.73187049748366,0.00819676789974682
"D","Urdu","bēṭī","GY","indian2",NA,NA,NA,NA,10,"Urdu","kinterm","urdu1245","IE188(350);IE363(26);IE292",2.73187049748366,0.00819676789974682
"D","Albanian","vajzë","FU","misc",1371,16700000,"spoken","Albanian NC",10,"Albanian_Top","kinterm","alba1267","IE12(155);IE29(262);IE137(53)",2.73187049748366,0.00819676789974682
"D","Bengali","kanyā","GR","bengali",NA,NA,NA,NA,10,"Bengali","kinterm","beng1280","IE508",2.73187049748366,0.00819676789974682
"D","Italian","figlia","DU","latin",13,1.3e+08,"spoken","CORIS",10,"Italian","kinterm","ital1282","IE80(156,167)",2.73187049748366,0.00819676789974682
"D","Romanian","fiică","AT","latin",3891,44729032,"web","Romanian Web (roWaC)",10,"Romanian_List","kinterm","roma1327",NA,2.73187049748366,0.00819676789974682
"D","Czech","dcera","BI","slavic",469214,4175089440,"web","Czech Web 2012 (czTenTen12 v8)",10,"Czech","kinterm","czec1258","IE146(527);IE143(77,78);IE288(105)",2.73187049748366,0.00819676789974682
"D","Italian","figlia","DU","latin",163136,2588873046,"web","Italian Web 2010 (itTenTen)",10,"Italian","kinterm","ital1282","IE80(156,167)",2.73187049748366,0.00819676789974682
"D","French","fille","CO","latin",3268754,9889689889,"web","French Web 2012 (frTenTen12)",10,"French","kinterm","stan1290","IE80(156,167)",2.73187049748366,0.00819676789974682
"D","Norwegian","datter","BO","i",193833,1698481187,"web","Norwegian Web 2015 (noTenTen15) Bokmal and Nynorsk",10,"Riksmal","kinterm","norw1259","IE89(95)",2.73187049748366,0.00819676789974682
"D","Norwegian","datter","BO","i",102994,1698481187,"web","Norwegian Web 2015 (noTenTen15) Bokmal and Nynorsk",10,"Riksmal","kinterm","norw1259","IE89(95)",2.73187049748366,0.00819676789974682
"D","Dutch","dochter","BW","i",199286,2576596803,"web","Dutch Web 2014 (nlTenTen14)",10,"Dutch_List","kinterm","dutc1256","IE73",2.73187049748366,0.00819676789974682
"D","Polish","córka","EL","i",1237777,7796796565,"web","Polish Web 2012 (plTenTen12)",10,"Polish","kinterm","poli1260","IE71(261);IE59(143);IE146(754)",2.73187049748366,0.00819676789974682
"D","Icelandic","dóttir","BO","i",18,6.5e+07,"spoken","textasafn",10,"Icelandic_ST","kinterm","icel1247","IE86(186);IE89(91)",2.73187049748366,0.00819676789974682
"D","Portuguese","filha","AT","latin",6235,3900501097,"web","Portuguese Web 2011 (ptTenTen11, Freeling v3)",10,"Portuguese_ST","kinterm","port1283","IE80(165)",2.73187049748366,0.00819676789974682
"D","Romanian","fiică","AT","latin",NA,4.1e+07,"spoken","ROMBAC",10,"Romanian_List","kinterm","roma1327",NA,2.73187049748366,0.00819676789974682
"D","Romanian","fiică","AT","latin",1518,4.1e+07,"written","ROMBAC",10,"Romanian_List","kinterm","roma1327",NA,2.73187049748366,0.00819676789974682
"D","Icelandic","dóttir","BO","i",169,6.5e+07,"written","textasafn",10,"Icelandic_ST","kinterm","icel1247","IE86(186);IE89(91)",2.73187049748366,0.00819676789974682
"D","Spanish","hija","FD","latin",1435,1e+08,"written","CoE",10,"Spanish","kinterm","stan1288","IE80(156-167)",2.73187049748366,0.00819676789974682
"D","German","Tochter","CV","i",535,5400000,"written","CELEX",10,"German_ST","kinterm","stan1295","IE74;IE234(268)",2.73187049748366,0.00819676789974682
"D","Italian","figlia","DU","latin",12955,1.3e+08,"written","CORIS",10,"Italian","kinterm","ital1282","IE80(156,167)",2.73187049748366,0.00819676789974682
"D","Gujarati","beṭī","GY","indian2",NA,NA,NA,NA,10,"Gujarati","kinterm","guja1252","IE155(31,92,164);IE108(169);IE96(212)",2.73187049748366,0.00819676789974682
"D","Assamese","ziārī","GE","indian",NA,NA,NA,NA,10,"Assamese","kinterm","assa1263","IE9(105,106)",2.73187049748366,0.00819676789974682
"D","Romanian","fiică","AT","latin",759,44729032,"web","Romanian Web (roWaC)",10,"Romanian_List","kinterm","roma1327",NA,2.73187049748366,0.00819676789974682
"D","Avestan","dugədar-","GK","i",NA,NA,NA,NA,10,"Avestan","kinterm","aves1237","IE507",2.73187049748366,0.00819676789974682
"D","Danish","datter","BO","i",135523,2042601251,"web","Danish Web 2014 (daTenTen14)",10,"Danish","kinterm","dani1285","IE996;IE89(95)",2.73187049748366,0.00819676789974682
"D","Portuguese","filha","AT","latin",259130,3900501097,"web","Portuguese Web 2011 (ptTenTen11, Freeling v3)",10,"Portuguese_ST","kinterm","port1283","IE80(165)",2.73187049748366,0.00819676789974682
"D","Danish","datter","BO","i",200472,2042601251,"web","Danish Web 2014 (daTenTen14)",10,"Danish","kinterm","dani1285","IE996;IE89(95)",2.73187049748366,0.00819676789974682
"D","Portuguese","filha","AT","latin",10095,4.5e+07,"written","CoP",10,"Portuguese_ST","kinterm","port1283","IE80(165)",2.73187049748366,0.00819676789974682
"D","Spanish","hija","FD","latin",561791,9497402122,"web","Spanish Web 2011 (esTenTen11, Eu + Am, Freeling v4)",10,"Spanish","kinterm","stan1288","IE80(156-167)",2.73187049748366,0.00819676789974682
"D","Polish","córka","EL","i",9255,3e+08,"written","Polish NC written PELCRA spoken",10,"Polish","kinterm","poli1260","IE71(261);IE59(143);IE146(754)",2.73187049748366,0.00819676789974682
"D","Russian","дочь","EZ","i",11923.73,8200000,"written","Russian NC via Leeds",10,"Russian","kinterm","russ1263",NA,2.73187049748366,0.00819676789974682
"D","Kashmiri","kur","HF","pashto",NA,NA,NA,NA,10,"Kashmiri","kinterm","kash1277","IE43(232);IE42(40);IE121(224);IE218(194)",2.73187049748366,0.00819676789974682
"D","Albanian","vajzë","FU","misc",4453,16700000,"written","Albanian NC",10,"Albanian_Top","kinterm","alba1267","IE12(155);IE29(262);IE137(53)",2.73187049748366,0.00819676789974682
"D","Lithuanian","duktẽ","EC","i",NA,NA,NA,NA,10,"Lithuanian_ST","kinterm","lith1251","IE13(33);IE21(79);IE287(97,102);IE288(105)",2.73187049748366,0.00819676789974682
